"","words","pos","stemmed","type","stems","postag","pattern"
"52","befit","verb","y","strongsubj","befit","_vb","^befit[a-z]*_vb"
"53","befriend","verb","y","strongsubj","befriend","_vb","^befriend[a-z]*_vb"
"54","bless","verb","y","strongsubj","bless","_vb","^bless[a-z]*_vb"
"55","bloom","verb","y","weaksubj","bloom","_vb","^bloom[a-z]*_vb"
"56","blossom","verb","y","weaksubj","blossom","_vb","^blossom[a-z]*_vb"
"57","boast","verb","y","strongsubj","boast","_vb","^boast[a-z]*_vb"
"58","bolster","verb","y","strongsubj","bolster","_vb","^bolster[a-z]*_vb"
"59","boost","verb","y","weaksubj","boost","_vb","^boost[a-z]*_vb"
"60","brave","verb","y","strongsubj","brave","_vb","^brave[a-z]*_vb"
"61","brook","verb","y","strongsubj","brook","_vb","^brook[a-z]*_vb"
"62","calm","verb","y","weaksubj","calm","_vb","^calm[a-z]*_vb"
"63","capitalize","verb","y","weaksubj","capitali","_vb","^capitali[a-z]*_vb"
"64","captivate","verb","y","strongsubj","captivat","_vb","^captivat[a-z]*_vb"
"65","caring","verb","y","weaksubj","caring","_vb","^caring[a-z]*_vb"
"66","care","verb","y","weaksubj","care","_vb","^care[a-z]*_vb"
"67","celebrate","verb","y","strongsubj","celebrat","_vb","^celebrat[a-z]*_vb"
"68","charm","verb","y","strongsubj","charm","_vb","^charm[a-z]*_vb"
"69","cheer","verb","y","strongsubj","cheer","_vb","^cheer[a-z]*_vb"
"70","cherish","verb","y","strongsubj","cherish","_vb","^cherish[a-z]*_vb"
"71","civilize","verb","y","weaksubj","civili","_vb","^civili[a-z]*_vb"
"72","coax","verb","y","strongsubj","coax","_vb","^coax[a-z]*_vb"
"73","coddle","verb","y","weaksubj","coddl","_vb","^coddl[a-z]*_vb"
"74","cohere","verb","y","weaksubj","coher","_vb","^coher[a-z]*_vb"
"75","comfort","verb","y","weaksubj","comfort","_vb","^comfort[a-z]*_vb"
"76","commend","verb","y","strongsubj","commend","_vb","^commend[a-z]*_vb"
"77","compensate","verb","y","strongsubj","compensat","_vb","^compensat[a-z]*_vb"
"78","complement","verb","y","weaksubj","complement","_vb","^complement[a-z]*_vb"
"79","compliment","verb","y","strongsubj","compliment","_vb","^compliment[a-z]*_vb"
"80","compromise","verb","y","weaksubj","compromis","_vb","^compromis[a-z]*_vb"
"81","conciliate","verb","y","strongsubj","conciliat","_vb","^conciliat[a-z]*_vb"
"82","concur","verb","y","strongsubj","concur","_vb","^concur[a-z]*_vb"
"83","condone","verb","y","strongsubj","condon","_vb","^condon[a-z]*_vb"
"84","confer","verb","y","weaksubj","confer","_vb","^confer[a-z]*_vb"
"85","confute","verb","y","strongsubj","confut","_vb","^confut[a-z]*_vb"
"86","congratulate","verb","y","strongsubj","congratulat","_vb","^congratulat[a-z]*_vb"
"87","conquer","verb","y","weaksubj","conquer","_vb","^conquer[a-z]*_vb"
"88","consent","verb","y","strongsubj","consent","_vb","^consent[a-z]*_vb"
"89","console","verb","y","weaksubj","consol","_vb","^consol[a-z]*_vb"
"90","content","verb","y","weaksubj","content","_vb","^content[a-z]*_vb"
"91","convince","verb","y","weaksubj","convinc","_vb","^convinc[a-z]*_vb"
"92","cooperate","verb","y","weaksubj","cooperat","_vb","^cooperat[a-z]*_vb"
"93","court","verb","y","strongsubj","court","_vb","^court[a-z]*_vb"
"94","craving","verb","y","strongsubj","craving","_vb","^craving[a-z]*_vb"
"95","crave","verb","y","strongsubj","crave","_vb","^crave[a-z]*_vb"
"96","dance","verb","y","weaksubj","danc","_vb","^danc[a-z]*_vb"
"97","daring","verb","y","strongsubj","daring","_vb","^daring[a-z]*_vb"
"98","dare","verb","y","strongsubj","dare","_vb","^dare[a-z]*_vb"
"99","dawn","verb","y","weaksubj","dawn","_vb","^dawn[a-z]*_vb"
"100","daydream","verb","y","strongsubj","daydream","_vb","^daydream[a-z]*_vb"
"101","dazzle","verb","y","strongsubj","dazzl","_vb","^dazzl[a-z]*_vb"
"102","defend","verb","y","weaksubj","defend","_vb","^defend[a-z]*_vb"
"103","delight","verb","y","strongsubj","delight","_vb","^delight[a-z]*_vb"
"104","demystify","verb","y","strongsubj","demystify","_vb","^demystify[a-z]*_vb"
"105","demystify","verb","y","strongsubj","demystifi","_vb","^demystifi[a-z]*_vb"
"106","deserve","verb","y","strongsubj","deserv","_vb","^deserv[a-z]*_vb"
"107","desire","verb","y","strongsubj","desir","_vb","^desir[a-z]*_vb"
"108","destine","verb","y","weaksubj","destin","_vb","^destin[a-z]*_vb"
"109","devote","verb","y","strongsubj","devot","_vb","^devot[a-z]*_vb"
"110","dug","verb","y","weaksubj","dug","_vb","^dug[a-z]*_vb"
"111","dig","verb","y","weaksubj","dig","_vb","^dig[a-z]*_vb"
"112","dignify","verb","y","weaksubj","dignify","_vb","^dignify[a-z]*_vb"
"113","dignify","verb","y","weaksubj","dignifi","_vb","^dignifi[a-z]*_vb"
"114","distinguish","verb","y","weaksubj","distinguish","_vb","^distinguish[a-z]*_vb"
"115","doting","verb","y","strongsubj","doting","_vb","^doting[a-z]*_vb"
"116","dote","verb","y","strongsubj","dote","_vb","^dote[a-z]*_vb"
"117","dream","verb","y","strongsubj","dream","_vb","^dream[a-z]*_vb"
"118","ease","verb","y","weaksubj","eas","_vb","^eas[a-z]*_vb"
"119","edify","verb","y","strongsubj","edify","_vb","^edify[a-z]*_vb"
"120","edify","verb","y","strongsubj","edifi","_vb","^edifi[a-z]*_vb"
"121","elate","verb","y","weaksubj","elat","_vb","^elat[a-z]*_vb"
"122","electrify","verb","y","weaksubj","electrify","_vb","^electrify[a-z]*_vb"
"123","electrify","verb","y","weaksubj","electrifi","_vb","^electrifi[a-z]*_vb"
"124","elevate","verb","y","weaksubj","elevat","_vb","^elevat[a-z]*_vb"
"125","emancipate","verb","y","weaksubj","emancipat","_vb","^emancipat[a-z]*_vb"
"126","embellish","verb","y","strongsubj","embellish","_vb","^embellish[a-z]*_vb"
"127","embolden","verb","y","weaksubj","embolden","_vb","^embolden[a-z]*_vb"
"128","embrace","verb","y","strongsubj","embrac","_vb","^embrac[a-z]*_vb"
"129","empower","verb","y","weaksubj","empower","_vb","^empower[a-z]*_vb"
"130","enable","verb","y","weaksubj","enabl","_vb","^enabl[a-z]*_vb"
"131","enchant","verb","y","strongsubj","enchant","_vb","^enchant[a-z]*_vb"
"132","encourage","verb","y","weaksubj","encourag","_vb","^encourag[a-z]*_vb"
"133","endear","verb","y","strongsubj","endear","_vb","^endear[a-z]*_vb"
"134","endorse","verb","y","strongsubj","endors","_vb","^endors[a-z]*_vb"
"135","endure","verb","y","strongsubj","endur","_vb","^endur[a-z]*_vb"
"136","energize","verb","y","weaksubj","energi","_vb","^energi[a-z]*_vb"
"137","enhance","verb","y","weaksubj","enhanc","_vb","^enhanc[a-z]*_vb"
"138","enjoy","verb","y","weaksubj","enjoy","_vb","^enjoy[a-z]*_vb"
"139","enlighten","verb","y","weaksubj","enlighten","_vb","^enlighten[a-z]*_vb"
"140","enliven","verb","y","weaksubj","enliven","_vb","^enliven[a-z]*_vb"
"141","ennoble","verb","y","strongsubj","ennobl","_vb","^ennobl[a-z]*_vb"
"142","enrapture","verb","y","weaksubj","enraptur","_vb","^enraptur[a-z]*_vb"
"143","enrich","verb","y","weaksubj","enrich","_vb","^enrich[a-z]*_vb"
"144","ensure","verb","y","weaksubj","ensur","_vb","^ensur[a-z]*_vb"
"145","entertain","verb","y","weaksubj","entertain","_vb","^entertain[a-z]*_vb"
"146","enthral","verb","y","strongsubj","enthral","_vb","^enthral[a-z]*_vb"
"147","enthrall","verb","y","strongsubj","enthral","_vb","^enthral[a-z]*_vb"
"148","enthuse","verb","y","strongsubj","enthus","_vb","^enthus[a-z]*_vb"
"149","entice","verb","y","strongsubj","entic","_vb","^entic[a-z]*_vb"
"150","entrance","verb","y","weaksubj","entranc","_vb","^entranc[a-z]*_vb"
"151","entreat","verb","y","strongsubj","entreat","_vb","^entreat[a-z]*_vb"
"152","entrust","verb","y","weaksubj","entrust","_vb","^entrust[a-z]*_vb"
"153","envision","verb","y","weaksubj","envision","_vb","^envision[a-z]*_vb"
"154","esteem","verb","y","strongsubj","esteem","_vb","^esteem[a-z]*_vb"
"155","eulogize","verb","y","strongsubj","eulogi","_vb","^eulogi[a-z]*_vb"
"156","exalt","verb","y","strongsubj","exalt","_vb","^exalt[a-z]*_vb"
"157","exceed","verb","y","strongsubj","exceed","_vb","^exceed[a-z]*_vb"
"158","excel","verb","y","strongsubj","excel","_vb","^excel[a-z]*_vb"
"159","excite","verb","y","weaksubj","excit","_vb","^excit[a-z]*_vb"
"160","excuse","verb","y","weaksubj","excus","_vb","^excus[a-z]*_vb"
"161","exhilarate","verb","y","strongsubj","exhilarat","_vb","^exhilarat[a-z]*_vb"
"162","exonerate","verb","y","strongsubj","exonerat","_vb","^exonerat[a-z]*_vb"
"163","extol","verb","y","strongsubj","extol","_vb","^extol[a-z]*_vb"
"164","extoll","verb","y","strongsubj","extol","_vb","^extol[a-z]*_vb"
"165","exult","verb","y","strongsubj","exult","_vb","^exult[a-z]*_vb"
"166","facilitate","verb","y","weaksubj","facilitat","_vb","^facilitat[a-z]*_vb"
"167","fancy","verb","y","strongsubj","fanci","_vb","^fanci[a-z]*_vb"
"168","fancy","verb","y","strongsubj","fancy","_vb","^fancy[a-z]*_vb"
"169","fascinate","verb","y","strongsubj","fascinat","_vb","^fascinat[a-z]*_vb"
"170","fathom","verb","y","weaksubj","fathom","_vb","^fathom[a-z]*_vb"
"171","favor","verb","y","strongsubj","favor","_vb","^favor[a-z]*_vb"
"172","felicitate","verb","y","strongsubj","felicitat","_vb","^felicitat[a-z]*_vb"
"173","flatter","verb","y","strongsubj","flatter","_vb","^flatter[a-z]*_vb"
"174","forgave","verb","y","strongsubj","forgave","_vb","^forgave[a-z]*_vb"
"175","forgive","verb","y","strongsubj","forgiv","_vb","^forgiv[a-z]*_vb"
"176","frolic","verb","y","strongsubj","frolic","_vb","^frolic[a-z]*_vb"
"177","gain","verb","y","weaksubj","gain","_vb","^gain[a-z]*_vb"
"178","gladden","verb","y","strongsubj","gladden","_vb","^gladden[a-z]*_vb"
"179","glimmer","verb","y","strongsubj","glimmer","_vb","^glimmer[a-z]*_vb"
"180","glisten","verb","y","strongsubj","glisten","_vb","^glisten[a-z]*_vb"
"181","glitter","verb","y","strongsubj","glitter","_vb","^glitter[a-z]*_vb"
"182","glorify","verb","y","strongsubj","glorify","_vb","^glorify[a-z]*_vb"
"183","glorify","verb","y","strongsubj","glorifi","_vb","^glorifi[a-z]*_vb"
"184","glory","verb","y","strongsubj","glory","_vb","^glory[a-z]*_vb"
"185","glory","verb","y","strongsubj","glori","_vb","^glori[a-z]*_vb"
"186","glow","verb","y","strongsubj","glow","_vb","^glow[a-z]*_vb"
"187","gratify","verb","y","strongsubj","gratify","_vb","^gratify[a-z]*_vb"
"188","gratify","verb","y","strongsubj","gratifi","_vb","^gratifi[a-z]*_vb"
"189","greet","verb","y","strongsubj","greet","_vb","^greet[a-z]*_vb"
"190","groove","verb","y","weaksubj","groov","_vb","^groov[a-z]*_vb"
"191","guarantee","verb","y","weaksubj","guarante","_vb","^guarante[a-z]*_vb"
"192","gush","verb","y","weaksubj","gush","_vb","^gush[a-z]*_vb"
"193","hail","verb","y","strongsubj","hail","_vb","^hail[a-z]*_vb"
"194","hanker","verb","y","strongsubj","hanker","_vb","^hanker[a-z]*_vb"
"195","harmonize","verb","y","strongsubj","harmoni","_vb","^harmoni[a-z]*_vb"
"196","heal","verb","y","weaksubj","heal","_vb","^heal[a-z]*_vb"
"197","hearten","verb","y","strongsubj","hearten","_vb","^hearten[a-z]*_vb"
"198","help","verb","y","weaksubj","help","_vb","^help[a-z]*_vb"
"199","heroize","verb","y","strongsubj","heroiz","_vb","^heroiz[a-z]*_vb"
"200","highlight","verb","y","strongsubj","highlight","_vb","^highlight[a-z]*_vb"
"201","honor","verb","y","strongsubj","honor","_vb","^honor[a-z]*_vb"
"202","hope","verb","y","strongsubj","hope","_vb","^hope[a-z]*_vb"
"203","humble","verb","y","strongsubj","humbl","_vb","^humbl[a-z]*_vb"
"204","humor","verb","y","strongsubj","humor","_vb","^humor[a-z]*_vb"
"205","idealize","verb","y","strongsubj","ideal","_vb","^ideal[a-z]*_vb"
"206","idolize","verb","y","strongsubj","idol","_vb","^idol[a-z]*_vb"
"207","illuminate","verb","y","strongsubj","illuminat","_vb","^illuminat[a-z]*_vb"
"208","illumine","verb","y","strongsubj","illumin","_vb","^illumin[a-z]*_vb"
"209","impel","verb","y","strongsubj","impel","_vb","^impel[a-z]*_vb"
"210","impress","verb","y","weaksubj","impress","_vb","^impress[a-z]*_vb"
"211","improve","verb","y","weaksubj","improv","_vb","^improv[a-z]*_vb"
"212","improvise","verb","y","strongsubj","improvis","_vb","^improvis[a-z]*_vb"
"213","ingratiate","verb","y","strongsubj","ingratiat","_vb","^ingratiat[a-z]*_vb"
"214","insist","verb","y","strongsubj","insist","_vb","^insist[a-z]*_vb"
"215","inspire","verb","y","strongsubj","inspir","_vb","^inspir[a-z]*_vb"
"216","intercede","verb","y","weaksubj","interced","_vb","^interced[a-z]*_vb"
"217","interest","verb","y","weaksubj","interest","_vb","^interest[a-z]*_vb"
"218","invigorate","verb","y","weaksubj","invigorat","_vb","^invigorat[a-z]*_vb"
"219","jest","verb","y","strongsubj","jest","_vb","^jest[a-z]*_vb"
"220","joke","verb","y","strongsubj","joke","_vb","^joke[a-z]*_vb"
"221","jollify","verb","y","weaksubj","jollify","_vb","^jollify[a-z]*_vb"
"222","jollify","verb","y","weaksubj","jollifi","_vb","^jollifi[a-z]*_vb"
"223","jubilate","verb","y","strongsubj","jubilat","_vb","^jubilat[a-z]*_vb"
"224","justify","verb","y","strongsubj","justify","_vb","^justify[a-z]*_vb"
"225","justify","verb","y","strongsubj","justifi","_vb","^justifi[a-z]*_vb"
"226","kid","verb","y","strongsubj","kid","_vb","^kid[a-z]*_vb"
"227","kiss","verb","y","weaksubj","kiss","_vb","^kiss[a-z]*_vb"
"228","lark","verb","y","strongsubj","lark","_vb","^lark[a-z]*_vb"
"229","laud","verb","y","strongsubj","laud","_vb","^laud[a-z]*_vb"
"230","lavish","verb","y","strongsubj","lavish","_vb","^lavish[a-z]*_vb"
"231","leverage","verb","y","weaksubj","leverag","_vb","^leverag[a-z]*_vb"
"232","liberate","verb","y","strongsubj","liber","_vb","^liber[a-z]*_vb"
"233","lit","verb","y","weaksubj","lit","_vb","^lit[a-z]*_vb"
"234","lighten","verb","y","weaksubj","lighten","_vb","^lighten[a-z]*_vb"
"235","like","verb","y","strongsubj","like","_vb","^like[a-z]*_vb"
"236","love","verb","y","strongsubj","love","_vb","^love[a-z]*_vb"
"237","luxuriate","verb","y","weaksubj","luxuriat","_vb","^luxuriat[a-z]*_vb"
"238","marvel","verb","y","strongsubj","marvel","_vb","^marvel[a-z]*_vb"
"239","maximize","verb","y","strongsubj","maximi","_vb","^maximi[a-z]*_vb"
"240","memorialize","verb","y","strongsubj","memoriali","_vb","^memoriali[a-z]*_vb"
"241","mend","verb","y","weaksubj","mend","_vb","^mend[a-z]*_vb"
"242","merit","verb","y","strongsubj","merit","_vb","^merit[a-z]*_vb"
"243","mesmerize","verb","y","strongsubj","mesmeri","_vb","^mesmeri[a-z]*_vb"
"244","minister","verb","y","weaksubj","minister","_vb","^minister[a-z]*_vb"
"245","mollify","verb","y","strongsubj","mollify","_vb","^mollify[a-z]*_vb"
"246","mollify","verb","y","strongsubj","mollifi","_vb","^mollifi[a-z]*_vb"
"247","moralize","verb","y","strongsubj","morali","_vb","^morali[a-z]*_vb"
"248","motivate","verb","y","strongsubj","motivat","_vb","^motivat[a-z]*_vb"
"249","neutralize","verb","y","weaksubj","neutrali","_vb","^neutrali[a-z]*_vb"
"250","nourish","verb","y","weaksubj","nourish","_vb","^nourish[a-z]*_vb"
"251","nurture","verb","y","strongsubj","nurtur","_vb","^nurtur[a-z]*_vb"
"252","obey","verb","y","strongsubj","obey","_vb","^obey[a-z]*_vb"
"253","obey","verb","y","strongsubj","obei","_vb","^obei[a-z]*_vb"
"254","obviate","verb","y","strongsubj","obviat","_vb","^obviat[a-z]*_vb"
"255","offset","verb","y","weaksubj","offset","_vb","^offset[a-z]*_vb"
"256","outdid","verb","y","strongsubj","outdid","_vb","^outdid[a-z]*_vb"
"257","outdo","verb","y","strongsubj","outdo","_vb","^outdo[a-z]*_vb"
"258","outshone","verb","y","strongsubj","outshon","_vb","^outshon[a-z]*_vb"
"259","outshine","verb","y","strongsubj","outshin","_vb","^outshin[a-z]*_vb"
"260","outsmart","verb","y","strongsubj","outsmart","_vb","^outsmart[a-z]*_vb"
"261","outstrip","verb","y","strongsubj","outstrip","_vb","^outstrip[a-z]*_vb"
"262","outwit","verb","y","strongsubj","outwit","_vb","^outwit[a-z]*_vb"
"263","palliate","verb","y","strongsubj","palliat","_vb","^palliat[a-z]*_vb"
"264","pamper","verb","y","weaksubj","pamper","_vb","^pamper[a-z]*_vb"
"265","pardon","verb","y","strongsubj","pardon","_vb","^pardon[a-z]*_vb"
"266","perfect","verb","y","strongsubj","perfect","_vb","^perfect[a-z]*_vb"
"267","persevere","verb","y","strongsubj","persever","_vb","^persever[a-z]*_vb"
"268","persuade","verb","y","strongsubj","persuad","_vb","^persuad[a-z]*_vb"
"269","placate","verb","y","strongsubj","placat","_vb","^placat[a-z]*_vb"
"270","please","verb","y","strongsubj","pleas","_vb","^pleas[a-z]*_vb"
"271","pledge","verb","y","strongsubj","pledg","_vb","^pledg[a-z]*_vb"
"272","poeticize","verb","y","strongsubj","poetici","_vb","^poetici[a-z]*_vb"
"273","praise","verb","y","strongsubj","prais","_vb","^prais[a-z]*_vb"
"274","preach","verb","y","strongsubj","preach","_vb","^preach[a-z]*_vb"
"275","prefer","verb","y","strongsubj","prefer","_vb","^prefer[a-z]*_vb"
"276","press","verb","y","weaksubj","press","_vb","^press[a-z]*_vb"
"277","prizing","verb","y","strongsubj","prizing","_vb","^prizing[a-z]*_vb"
"278","prize","verb","y","strongsubj","prize","_vb","^prize[a-z]*_vb"
"279","profess","verb","y","strongsubj","profess","_vb","^profess[a-z]*_vb"
"280","profit","verb","y","weaksubj","profit","_vb","^profit[a-z]*_vb"
"281","progress","verb","y","weaksubj","progress","_vb","^progress[a-z]*_vb"
"282","prosper","verb","y","strongsubj","prosper","_vb","^prosper[a-z]*_vb"
"283","protect","verb","y","weaksubj","protect","_vb","^protect[a-z]*_vb"
"284","purify","verb","y","weaksubj","purify","_vb","^purify[a-z]*_vb"
"285","purify","verb","y","weaksubj","purifi","_vb","^purifi[a-z]*_vb"
"286","qualify","verb","y","weaksubj","qualify","_vb","^qualify[a-z]*_vb"
"287","qualify","verb","y","weaksubj","qualifi","_vb","^qualifi[a-z]*_vb"
"288","quench","verb","y","weaksubj","quench","_vb","^quench[a-z]*_vb"
"289","quicken","verb","y","strongsubj","quicken","_vb","^quicken[a-z]*_vb"
"290","rally","verb","y","strongsubj","rally","_vb","^rally[a-z]*_vb"
"291","rally","verb","y","strongsubj","ralli","_vb","^ralli[a-z]*_vb"
"292","rapt","verb","y","strongsubj","rapt","_vb","^rapt[a-z]*_vb"
"293","raving","verb","y","strongsubj","raving","_vb","^raving[a-z]*_vb"
"294","rave","verb","y","strongsubj","rave","_vb","^rave[a-z]*_vb"
"295","reassure","verb","y","strongsubj","reassur","_vb","^reassur[a-z]*_vb"
"296","reclaim","verb","y","weaksubj","reclaim","_vb","^reclaim[a-z]*_vb"
"297","recommend","verb","y","strongsubj","recommend","_vb","^recommend[a-z]*_vb"
"298","recompense","verb","y","weaksubj","recompens","_vb","^recompens[a-z]*_vb"
"299","reconcile","verb","y","weaksubj","reconcil","_vb","^reconcil[a-z]*_vb"
"300","recover","verb","y","weaksubj","recov","_vb","^recov[a-z]*_vb"
"301","rectify","verb","y","strongsubj","rectify","_vb","^rectify[a-z]*_vb"
"302","rectify","verb","y","strongsubj","rectifi","_vb","^rectifi[a-z]*_vb"
"303","redeem","verb","y","strongsubj","redeem","_vb","^redeem[a-z]*_vb"
"304","reestablish","verb","y","weaksubj","reestablish","_vb","^reestablish[a-z]*_vb"
"305","refine","verb","y","weaksubj","refin","_vb","^refin[a-z]*_vb"
"306","refresh","verb","y","weaksubj","refresh","_vb","^refresh[a-z]*_vb"
"307","rehabilitate","verb","y","weaksubj","rehabilitat","_vb","^rehabilitat[a-z]*_vb"
"308","reinforce","verb","y","weaksubj","reinforc","_vb","^reinforc[a-z]*_vb"
"309","rejoice","verb","y","strongsubj","rejoic","_vb","^rejoic[a-z]*_vb"
"310","relax","verb","y","weaksubj","relax","_vb","^relax[a-z]*_vb"
"311","relent","verb","y","strongsubj","relent","_vb","^relent[a-z]*_vb"
"312","relieve","verb","y","weaksubj","reliev","_vb","^reliev[a-z]*_vb"
"313","relish","verb","y","strongsubj","relish","_vb","^relish[a-z]*_vb"
"314","remunerate","verb","y","strongsubj","remunerat","_vb","^remunerat[a-z]*_vb"
"315","renovate","verb","y","weaksubj","renovat","_vb","^renovat[a-z]*_vb"
"316","repair","verb","y","weaksubj","repair","_vb","^repair[a-z]*_vb"
"317","repay","verb","y","strongsubj","repay","_vb","^repay[a-z]*_vb"
"318","repent","verb","y","strongsubj","repent","_vb","^repent[a-z]*_vb"
"319","rescue","verb","y","weaksubj","rescu","_vb","^rescu[a-z]*_vb"
"320","resolve","verb","y","weaksubj","resolv","_vb","^resolv[a-z]*_vb"
"321","resound","verb","y","weaksubj","resound","_vb","^resound[a-z]*_vb"
"322","respect","verb","y","weaksubj","respect","_vb","^respect[a-z]*_vb"
"323","restore","verb","y","weaksubj","restor","_vb","^restor[a-z]*_vb"
"324","reunite","verb","y","weaksubj","reunit","_vb","^reunit[a-z]*_vb"
"325","revel","verb","y","strongsubj","revel","_vb","^revel[a-z]*_vb"
"326","revere","verb","y","strongsubj","rever","_vb","^rever[a-z]*_vb"
"327","revive","verb","y","weaksubj","reviv","_vb","^reviv[a-z]*_vb"
"328","revitalize","verb","y","weaksubj","revitali","_vb","^revitali[a-z]*_vb"
"329","reward","verb","y","strongsubj","reward","_vb","^reward[a-z]*_vb"
"330","right","verb","y","strongsubj","right","_vb","^right[a-z]*_vb"
"331","righten","verb","y","strongsubj","righten","_vb","^righten[a-z]*_vb"
"332","romanticize","verb","y","strongsubj","romantici","_vb","^romantici[a-z]*_vb"
"333","safeguard","verb","y","strongsubj","safeguard","_vb","^safeguard[a-z]*_vb"
"334","salivate","verb","y","weaksubj","salivat","_vb","^salivat[a-z]*_vb"
"335","salute","verb","y","strongsubj","salut","_vb","^salut[a-z]*_vb"
"336","sanctify","verb","y","strongsubj","sanctify","_vb","^sanctify[a-z]*_vb"
"337","sanctify","verb","y","strongsubj","sanctifi","_vb","^sanctifi[a-z]*_vb"
"338","sanction","verb","y","strongsubj","sanction","_vb","^sanction[a-z]*_vb"
"339","satisfy","verb","y","weaksubj","satisfy","_vb","^satisfy[a-z]*_vb"
"340","satisfy","verb","y","weaksubj","satisfi","_vb","^satisfi[a-z]*_vb"
"341","savor","verb","y","weaksubj","savor","_vb","^savor[a-z]*_vb"
"342","sense","verb","y","weaksubj","sens","_vb","^sens[a-z]*_vb"
"343","shelter","verb","y","weaksubj","shelter","_vb","^shelter[a-z]*_vb"
"344","shield","verb","y","weaksubj","shield","_vb","^shield[a-z]*_vb"
"345","signify","verb","y","weaksubj","signify","_vb","^signify[a-z]*_vb"
"346","signify","verb","y","weaksubj","signifi","_vb","^signifi[a-z]*_vb"
"347","simplify","verb","y","weaksubj","simplify","_vb","^simplify[a-z]*_vb"
