words,pos,stemmed,type,postag,pattern
apologist,adj,n,strongsubj,_jj,^apologist_jj
apologist,noun,n,strongsubj,_nn,^apologist_nn
apologists,adj,n,strongsubj,_jj,^apologists_jj
apologists,noun,n,strongsubj,_nn,^apologists_nn
appal,verb,y,strongsubj,_vb,^appal_vb
appall,adj,n,strongsubj,_jj,^appall_jj
appall,anypos,y,strongsubj,,^appall
appall,verb,y,strongsubj,_vb,^appall_vb
appalled,adj,n,strongsubj,_jj,^appalled_jj
appalling,adj,n,strongsubj,_jj,^appalling_jj
appallingly,anypos,n,strongsubj,,^appallingly
apprehension,noun,n,strongsubj,_nn,^apprehension_nn
apprehensions,adj,n,strongsubj,_jj,^apprehensions_jj
apprehensions,noun,n,strongsubj,_nn,^apprehensions_nn
apprehensive,adj,n,strongsubj,_jj,^apprehensive_jj
apprehensive,noun,n,strongsubj,_nn,^apprehensive_nn
apprehensively,anypos,y,strongsubj,,^apprehensively
arbitrary,adj,n,strongsubj,_jj,^arbitrary_jj
arcane,adj,n,strongsubj,_jj,^arcane_jj
archaic,adj,n,strongsubj,_jj,^archaic_jj
arduous,adj,n,strongsubj,_jj,^arduous_jj
arduously,anypos,n,strongsubj,,^arduously
argue,verb,y,strongsubj,_vb,^argue_vb
argument,adj,n,weaksubj,_jj,^argument_jj
argument,noun,n,weaksubj,_nn,^argument_nn
argumentative,anypos,y,strongsubj,,^argumentative
arguments,adj,n,weaksubj,_jj,^arguments_jj
arguments,noun,n,weaksubj,_nn,^arguments_nn
arrogance,noun,n,strongsubj,_nn,^arrogance_nn
arrogant,adj,n,strongsubj,_jj,^arrogant_jj
arrogant,anypos,y,strongsubj,,^arrogant
arrogantly,anypos,n,strongsubj,,^arrogantly
arrogantly,anypos,y,strongsubj,,^arrogantly
artificial,adj,n,weaksubj,_jj,^artificial_jj
ashamed,adj,n,strongsubj,_jj,^ashamed_jj
asinine,adj,n,strongsubj,_jj,^asinine_jj
asininely,adverb,n,strongsubj,_rb,^asininely_rb
asinininity,noun,n,strongsubj,_nn,^asinininity_nn
askance,adverb,n,strongsubj,_rb,^askance_rb
asperse,verb,y,strongsubj,_vb,^asperse_vb
aspersion,noun,n,strongsubj,_nn,^aspersion_nn
aspersions,noun,n,strongsubj,_nn,^aspersions_nn
assail,verb,y,weaksubj,_vb,^assail_vb
assassinate,verb,y,weaksubj,_vb,^assassinate_vb
assassin,noun,n,strongsubj,_nn,^assassin_nn
assault,adj,n,weaksubj,_jj,^assault_jj
assault,noun,n,weaksubj,_nn,^assault_nn
astray,adj,n,weaksubj,_jj,^astray_jj
asunder,anypos,n,strongsubj,,^asunder
atrocious,adj,n,strongsubj,_jj,^atrocious_jj
atrocities,noun,n,strongsubj,_nn,^atrocities_nn
atrocity,noun,n,strongsubj,_nn,^atrocity_nn
atrophy,verb,y,strongsubj,_vb,^atrophy_vb
attack,noun,n,weaksubj,_nn,^attack_nn
attack,verb,y,weaksubj,_vb,^attack_vb
audacious,adj,n,strongsubj,_jj,^audacious_jj
audaciously,anypos,n,strongsubj,,^audaciously
audaciousness,noun,n,strongsubj,_nn,^audaciousness_nn
audacity,noun,n,strongsubj,_nn,^audacity_nn
austere,adj,n,strongsubj,_jj,^austere_jj
authoritarian,adj,n,weaksubj,_jj,^authoritarian_jj
autocrat,noun,n,strongsubj,_nn,^autocrat_nn
autocratic,adj,n,strongsubj,_jj,^autocratic_jj
autocratic,adj,n,strongsubj,_jj,^autocratic_jj
autocratic,noun,n,strongsubj,_nn,^autocratic_nn
avalanche,adj,n,strongsubj,_jj,^avalanche_jj
avalanche,noun,n,strongsubj,_nn,^avalanche_nn
avarice,noun,n,strongsubj,_nn,^avarice_nn
avaricious,adj,n,strongsubj,_jj,^avaricious_jj
avariciously,adj,n,strongsubj,_jj,^avariciously_jj
avenge,verb,y,strongsubj,_vb,^avenge_vb
averse,anypos,n,strongsubj,,^averse
aversion,noun,n,strongsubj,_nn,^aversion_nn
avoid,verb,y,weaksubj,_vb,^avoid_vb
avoidance,noun,n,weaksubj,_nn,^avoidance_nn
awful,adj,n,strongsubj,_jj,^awful_jj
awful,anypos,n,strongsubj,,^awful
awfully,anypos,n,strongsubj,,^awfully
awfulness,anypos,y,strongsubj,,^awfulness
awfulness,noun,n,strongsubj,_nn,^awfulness_nn
awkward,adj,n,strongsubj,_jj,^awkward_jj
awkwardness,noun,n,strongsubj,_nn,^awkwardness_nn
ax,verb,y,strongsubj,_vb,^ax_vb
babble,verb,y,strongsubj,_vb,^babble_vb
backbite,verb,y,strongsubj,_vb,^backbite_vb
backbiting,anypos,n,strongsubj,,^backbiting
backward,adj,n,strongsubj,_jj,^backward_jj
backwardness,noun,n,strongsubj,_nn,^backwardness_nn
bad,adj,n,strongsubj,_jj,^bad_jj
badly,adj,n,strongsubj,_jj,^badly_jj
baffle,verb,y,strongsubj,_vb,^baffle_vb
baffled,adj,n,strongsubj,_jj,^baffled_jj
bafflement,noun,n,strongsubj,_nn,^bafflement_nn
baffling,anypos,n,strongsubj,,^baffling
bait,verb,y,strongsubj,_vb,^bait_vb
balk,verb,y,strongsubj,_vb,^balk_vb
banal,adj,n,strongsubj,_jj,^banal_jj
banal,anypos,y,strongsubj,,^banal
banalize,verb,y,strongsubj,_vb,^banalize_vb
bane,noun,n,strongsubj,_nn,^bane_nn
banish,adj,n,strongsubj,_jj,^banish_jj
banish,verb,y,strongsubj,_vb,^banish_vb
banishment,noun,n,strongsubj,_nn,^banishment_nn
bankrupt,adj,n,weaksubj,_jj,^bankrupt_jj
bankrupt,verb,y,weaksubj,_vb,^bankrupt_vb
bar,verb,y,weaksubj,_vb,^bar_vb
barbarian,adj,n,strongsubj,_jj,^barbarian_jj
barbarian,noun,n,strongsubj,_nn,^barbarian_nn
barbaric,adj,n,strongsubj,_jj,^barbaric_jj
barbarically,anypos,n,strongsubj,,^barbarically
barbarity,adj,n,strongsubj,_jj,^barbarity_jj
barbarity,noun,n,strongsubj,_nn,^barbarity_nn
barbarous,adj,n,strongsubj,_jj,^barbarous_jj
barbarous,anypos,y,strongsubj,,^barbarous
barbarously,anypos,n,strongsubj,,^barbarously
barely,anypos,y,weaksubj,,^barely
barren,adj,n,strongsubj,_jj,^barren_jj
baseless,adj,n,strongsubj,_jj,^baseless_jj
bashful,adj,n,strongsubj,_jj,^bashful_jj
bastard,anypos,y,strongsubj,,^bastard
bastard,noun,n,strongsubj,_nn,^bastard_nn
battered,adj,n,weaksubj,_jj,^battered_jj
battering,adj,n,weaksubj,_jj,^battering_jj
battering,noun,n,weaksubj,_nn,^battering_nn
battle,verb,y,weaksubj,_vb,^battle_vb
battle-lines,adj,n,strongsubj,_jj,^battle-lines_jj
battle-lines,noun,n,strongsubj,_nn,^battle-lines_nn
battlefield,noun,n,weaksubj,_nn,^battlefield_nn
battleground,adj,n,strongsubj,_jj,^battleground_jj
battleground,noun,n,strongsubj,_nn,^battleground_nn
batty,adj,n,strongsubj,_jj,^batty_jj
bearish,adj,n,weaksubj,_jj,^bearish_jj
beast,adj,n,strongsubj,_jj,^beast_jj
beast,noun,n,strongsubj,_nn,^beast_nn
beastly,adj,n,strongsubj,_jj,^beastly_jj
bedlam,noun,n,strongsubj,_nn,^bedlam_nn
bedlamite,noun,n,strongsubj,_nn,^bedlamite_nn
befoul,verb,y,strongsubj,_vb,^befoul_vb
beg,verb,y,strongsubj,_vb,^beg_vb
beggar,noun,n,weaksubj,_nn,^beggar_nn
beggarly,adj,n,strongsubj,_jj,^beggarly_jj
begging,adj,n,strongsubj,_jj,^begging_jj
begging,noun,n,strongsubj,_nn,^begging_nn
beguile,verb,y,strongsubj,_vb,^beguile_vb
belated,adj,n,weaksubj,_jj,^belated_jj
belabor,verb,y,strongsubj,_vb,^belabor_vb
beleaguer,verb,y,strongsubj,_vb,^beleaguer_vb
belie,verb,y,strongsubj,_vb,^belie_vb
belittle,verb,y,strongsubj,_vb,^belittle_vb
belittled,adj,n,strongsubj,_jj,^belittled_jj
belittling,anypos,y,strongsubj,,^belittling
bellicose,adj,n,strongsubj,_jj,^bellicose_jj
bellicose,noun,n,strongsubj,_nn,^bellicose_nn
belligerence,noun,n,strongsubj,_nn,^belligerence_nn
belligerent,adj,n,strongsubj,_jj,^belligerent_jj
belligerent,anypos,y,strongsubj,,^belligerent
belligerently,anypos,n,strongsubj,,^belligerently
bemoan,verb,y,strongsubj,_vb,^bemoan_vb
bemoaning,adj,n,strongsubj,_jj,^bemoaning_jj
bemused,adj,n,strongsubj,_jj,^bemused_jj
bent,adj,n,weaksubj,_jj,^bent_jj
berate,verb,y,strongsubj,_vb,^berate_vb
bereave,verb,y,strongsubj,_vb,^bereave_vb
bereavement,noun,n,strongsubj,_nn,^bereavement_nn
bereft,anypos,n,strongsubj,,^bereft
berserk,adj,n,strongsubj,_jj,^berserk_jj
beseech,verb,y,strongsubj,_vb,^beseech_vb
beset,adj,n,weaksubj,_jj,^beset_jj
besiege,verb,y,weaksubj,_vb,^besiege_vb
besmirch,verb,y,strongsubj,_vb,^besmirch_vb
bestial,adj,n,strongsubj,_jj,^bestial_jj
betray,verb,y,strongsubj,_vb,^betray_vb
betrayal,noun,n,strongsubj,_nn,^betrayal_nn
betrayals,noun,n,strongsubj,_nn,^betrayals_nn
betrayer,noun,n,strongsubj,_nn,^betrayer_nn
bewail,verb,y,strongsubj,_vb,^bewail_vb
beware,verb,y,weaksubj,_vb,^beware_vb
bewilder,verb,y,strongsubj,_vb,^bewilder_vb
bewildered,adj,n,strongsubj,_jj,^bewildered_jj
bewildering,adj,n,strongsubj,_jj,^bewildering_jj
bewildering,anypos,n,strongsubj,,^bewildering
bewilderingly,anypos,n,strongsubj,,^bewilderingly
bewilderment,noun,n,strongsubj,_nn,^bewilderment_nn
bewitch,verb,y,strongsubj,_vb,^bewitch_vb
bias,adj,n,strongsubj,_jj,^bias_jj
bias,noun,n,strongsubj,_nn,^bias_nn
bias,verb,y,strongsubj,_vb,^bias_vb
biased,adj,n,strongsubj,_jj,^biased_jj
biased,noun,n,strongsubj,_nn,^biased_nn
biases,adj,n,strongsubj,_jj,^biases_jj
biases,noun,n,strongsubj,_nn,^biases_nn
bicker,verb,y,strongsubj,_vb,^bicker_vb
bickering,anypos,n,strongsubj,,^bickering
bid-rigging,adj,n,weaksubj,_jj,^bid-rigging_jj
bitch,verb,y,strongsubj,_vb,^bitch_vb
bitchy,adj,n,strongsubj,_jj,^bitchy_jj
biting,adj,n,strongsubj,_jj,^biting_jj
bitingly,anypos,n,strongsubj,,^bitingly
bitter,adj,n,strongsubj,_jj,^bitter_jj
bitterly,anypos,n,strongsubj,,^bitterly
bitterness,noun,n,strongsubj,_nn,^bitterness_nn
bizarre,adj,n,strongsubj,_jj,^bizarre_jj
blab,verb,y,strongsubj,_vb,^blab_vb
blabber,verb,y,strongsubj,_vb,^blabber_vb
black,adj,n,weaksubj,_jj,^black_jj
blackmail,verb,y,weaksubj,_vb,^blackmail_vb
blah,anypos,y,strongsubj,,^blah
blame,adj,n,strongsubj,_jj,^blame_jj
blame,noun,n,strongsubj,_nn,^blame_nn
blame,verb,y,strongsubj,_vb,^blame_vb
blameworthy,adj,n,strongsubj,_jj,^blameworthy_jj
bland,adj,n,strongsubj,_jj,^bland_jj
blandish,verb,y,strongsubj,_vb,^blandish_vb
blaspheme,verb,y,strongsubj,_vb,^blaspheme_vb
blasphemous,adj,n,strongsubj,_jj,^blasphemous_jj
blasphemous,anypos,y,strongsubj,,^blasphemous
blasphemy,noun,n,strongsubj,_nn,^blasphemy_nn
blast,anypos,y,weaksubj,,^blast
blasted,anypos,y,strongsubj,,^blasted
blatant,adj,n,strongsubj,_jj,^blatant_jj
blatantly,adj,n,strongsubj,_jj,^blatantly_jj
blather,verb,y,strongsubj,_vb,^blather_vb
bleak,adj,n,strongsubj,_jj,^bleak_jj
bleakly,anypos,n,strongsubj,,^bleakly
bleakness,noun,n,strongsubj,_nn,^bleakness_nn
bleed,verb,y,weaksubj,_vb,^bleed_vb
blemish,noun,n,weaksubj,_nn,^blemish_nn
blemish,verb,y,weaksubj,_vb,^blemish_vb
blind,anypos,n,weaksubj,,^blind
blinding,adj,n,strongsubj,_jj,^blinding_jj
blinding,anypos,y,strongsubj,,^blinding
blindingly,adj,n,strongsubj,_jj,^blindingly_jj
blindness,adj,n,weaksubj,_jj,^blindness_jj
blindside,verb,y,strongsubj,_vb,^blindside_vb
blister,verb,y,strongsubj,_vb,^blister_vb
blistering,adj,n,strongsubj,_jj,^blistering_jj
bloated,adj,n,strongsubj,_jj,^bloated_jj
block,noun,n,weaksubj,_nn,^block_nn
block,verb,y,weaksubj,_vb,^block_vb
blockhead,adj,n,strongsubj,_jj,^blockhead_jj
blood,noun,n,weaksubj,_nn,^blood_nn
bloodshed,noun,n,strongsubj,_nn,^bloodshed_nn
bloodthirsty,adj,n,strongsubj,_jj,^bloodthirsty_jj
bloody,adj,n,weaksubj,_jj,^bloody_jj
blow,adj,n,weaksubj,_jj,^blow_jj
blow,noun,n,weaksubj,_nn,^blow_nn
blunder,adj,n,strongsubj,_jj,^blunder_jj
blunder,noun,n,strongsubj,_nn,^blunder_nn
blundering,anypos,n,strongsubj,,^blundering
blunders,anypos,n,strongsubj,,^blunders
blunt,adj,n,strongsubj,_jj,^blunt_jj
blur,verb,y,weaksubj,_vb,^blur_vb
blurt,verb,y,strongsubj,_vb,^blurt_vb
boast,verb,y,strongsubj,_vb,^boast_vb
boastful,adj,n,strongsubj,_jj,^boastful_jj
boggle,verb,y,strongsubj,_vb,^boggle_vb
bogus,adj,n,strongsubj,_jj,^bogus_jj
boil,verb,y,strongsubj,_vb,^boil_vb
boiling,adverb,n,strongsubj,_rb,^boiling_rb
boisterous,adj,n,strongsubj,_jj,^boisterous_jj
bombard,verb,y,weaksubj,_vb,^bombard_vb
bomb,verb,y,weaksubj,_vb,^bomb_vb
bombardment,adj,n,strongsubj,_jj,^bombardment_jj
bombardment,noun,n,strongsubj,_nn,^bombardment_nn
bombastic,adj,n,strongsubj,_jj,^bombastic_jj
bondage,noun,n,strongsubj,_nn,^bondage_nn
bonkers,adj,n,strongsubj,_jj,^bonkers_jj
bonkers,noun,n,strongsubj,_nn,^bonkers_nn
bore,verb,y,strongsubj,_vb,^bore_vb
boredom,noun,n,strongsubj,_nn,^boredom_nn
boring,adj,n,strongsubj,_jj,^boring_jj
boring,anypos,y,strongsubj,,^boring
botch,verb,y,strongsubj,_vb,^botch_vb
bother,noun,n,strongsubj,_nn,^bother_nn
bother,verb,y,strongsubj,_vb,^bother_vb
bothersome,adj,n,strongsubj,_jj,^bothersome_jj
bowdlerize,verb,y,strongsubj,_vb,^bowdlerize_vb
boycott,adj,n,weaksubj,_jj,^boycott_jj
boycott,noun,n,weaksubj,_nn,^boycott_nn
braggart,anypos,y,strongsubj,,^braggart
braggart,noun,n,strongsubj,_nn,^braggart_nn
bragger,anypos,y,strongsubj,,^bragger
bragger,noun,n,strongsubj,_nn,^bragger_nn
brainwash,verb,y,strongsubj,_vb,^brainwash_vb
brash,adj,n,strongsubj,_jj,^brash_jj
brashly,anypos,n,strongsubj,,^brashly
brashness,noun,n,strongsubj,_nn,^brashness_nn
brat,noun,n,strongsubj,_nn,^brat_nn
bravado,noun,n,strongsubj,_nn,^bravado_nn
brazen,anypos,n,strongsubj,,^brazen
brazenly,anypos,n,strongsubj,,^brazenly
brazenly,anypos,n,strongsubj,,^brazenly
brazenness,noun,n,strongsubj,_nn,^brazenness_nn
brazenness,noun,n,strongsubj,_nn,^brazenness_nn
breach,adj,n,weaksubj,_jj,^breach_jj
breach,noun,n,weaksubj,_nn,^breach_nn
break,verb,y,weaksubj,_vb,^break_vb
break-point,adj,n,strongsubj,_jj,^break-point_jj
break-point,noun,n,strongsubj,_nn,^break-point_nn
breakdown,verb,y,weaksubj,_vb,^breakdown_vb
brimstone,adj,n,strongsubj,_jj,^brimstone_jj
brimstone,noun,n,strongsubj,_nn,^brimstone_nn
bristle,verb,y,strongsubj,_vb,^bristle_vb
brittle,adj,n,weaksubj,_jj,^brittle_jj
broke,adj,n,weaksubj,_jj,^broke_jj
broken-hearted,adj,n,strongsubj,_jj,^broken-hearted_jj
brood,verb,y,strongsubj,_vb,^brood_vb
browbeat,verb,y,strongsubj,_vb,^browbeat_vb
bruise,noun,n,weaksubj,_nn,^bruise_nn
brusque,adj,n,strongsubj,_jj,^brusque_jj
brutal,adj,n,strongsubj,_jj,^brutal_jj
