words,pos,stemmed,type,postag,pattern
bafflement,noun,n,strongsubj,_nn,^bafflement_nn
banal,adj,n,strongsubj,_jj,^banal_jj
bane,noun,n,strongsubj,_nn,^bane_nn
banish,adj,n,strongsubj,_jj,^banish_jj
banishment,noun,n,strongsubj,_nn,^banishment_nn
bankrupt,adj,n,weaksubj,_jj,^bankrupt_jj
barbarian,adj,n,strongsubj,_jj,^barbarian_jj
barbarian,noun,n,strongsubj,_nn,^barbarian_nn
barbaric,adj,n,strongsubj,_jj,^barbaric_jj
barbarity,adj,n,strongsubj,_jj,^barbarity_jj
barbarity,noun,n,strongsubj,_nn,^barbarity_nn
barbarous,adj,n,strongsubj,_jj,^barbarous_jj
barren,adj,n,strongsubj,_jj,^barren_jj
baseless,adj,n,strongsubj,_jj,^baseless_jj
bashful,adj,n,strongsubj,_jj,^bashful_jj
bastard,noun,n,strongsubj,_nn,^bastard_nn
battered,adj,n,weaksubj,_jj,^battered_jj
battering,adj,n,weaksubj,_jj,^battering_jj
battering,noun,n,weaksubj,_nn,^battering_nn
battle-lines,adj,n,strongsubj,_jj,^battle-lines_jj
battle-lines,noun,n,strongsubj,_nn,^battle-lines_nn
battlefield,noun,n,weaksubj,_nn,^battlefield_nn
battleground,adj,n,strongsubj,_jj,^battleground_jj
battleground,noun,n,strongsubj,_nn,^battleground_nn
batty,adj,n,strongsubj,_jj,^batty_jj
bearish,adj,n,weaksubj,_jj,^bearish_jj
beast,adj,n,strongsubj,_jj,^beast_jj
beast,noun,n,strongsubj,_nn,^beast_nn
beastly,adj,n,strongsubj,_jj,^beastly_jj
bedlam,noun,n,strongsubj,_nn,^bedlam_nn
bedlamite,noun,n,strongsubj,_nn,^bedlamite_nn
beggar,noun,n,weaksubj,_nn,^beggar_nn
beggarly,adj,n,strongsubj,_jj,^beggarly_jj
begging,adj,n,strongsubj,_jj,^begging_jj
begging,noun,n,strongsubj,_nn,^begging_nn
belated,adj,n,weaksubj,_jj,^belated_jj
belittled,adj,n,strongsubj,_jj,^belittled_jj
bellicose,adj,n,strongsubj,_jj,^bellicose_jj
bellicose,noun,n,strongsubj,_nn,^bellicose_nn
belligerence,noun,n,strongsubj,_nn,^belligerence_nn
belligerent,adj,n,strongsubj,_jj,^belligerent_jj
bemoaning,adj,n,strongsubj,_jj,^bemoaning_jj
bemused,adj,n,strongsubj,_jj,^bemused_jj
bent,adj,n,weaksubj,_jj,^bent_jj
bereavement,noun,n,strongsubj,_nn,^bereavement_nn
berserk,adj,n,strongsubj,_jj,^berserk_jj
beset,adj,n,weaksubj,_jj,^beset_jj
bestial,adj,n,strongsubj,_jj,^bestial_jj
betrayal,noun,n,strongsubj,_nn,^betrayal_nn
betrayals,noun,n,strongsubj,_nn,^betrayals_nn
betrayer,noun,n,strongsubj,_nn,^betrayer_nn
bewildered,adj,n,strongsubj,_jj,^bewildered_jj
bewildering,adj,n,strongsubj,_jj,^bewildering_jj
bewilderment,noun,n,strongsubj,_nn,^bewilderment_nn
bias,adj,n,strongsubj,_jj,^bias_jj
bias,noun,n,strongsubj,_nn,^bias_nn
biased,adj,n,strongsubj,_jj,^biased_jj
biased,noun,n,strongsubj,_nn,^biased_nn
biases,adj,n,strongsubj,_jj,^biases_jj
biases,noun,n,strongsubj,_nn,^biases_nn
bid-rigging,adj,n,weaksubj,_jj,^bid-rigging_jj
bitchy,adj,n,strongsubj,_jj,^bitchy_jj
biting,adj,n,strongsubj,_jj,^biting_jj
bitter,adj,n,strongsubj,_jj,^bitter_jj
bitterness,noun,n,strongsubj,_nn,^bitterness_nn
bizarre,adj,n,strongsubj,_jj,^bizarre_jj
black,adj,n,weaksubj,_jj,^black_jj
blame,adj,n,strongsubj,_jj,^blame_jj
blame,noun,n,strongsubj,_nn,^blame_nn
blameworthy,adj,n,strongsubj,_jj,^blameworthy_jj
bland,adj,n,strongsubj,_jj,^bland_jj
blasphemous,adj,n,strongsubj,_jj,^blasphemous_jj
blasphemy,noun,n,strongsubj,_nn,^blasphemy_nn
blatant,adj,n,strongsubj,_jj,^blatant_jj
blatantly,adj,n,strongsubj,_jj,^blatantly_jj
bleak,adj,n,strongsubj,_jj,^bleak_jj
bleakness,noun,n,strongsubj,_nn,^bleakness_nn
blemish,noun,n,weaksubj,_nn,^blemish_nn
blinding,adj,n,strongsubj,_jj,^blinding_jj
blindingly,adj,n,strongsubj,_jj,^blindingly_jj
blindness,adj,n,weaksubj,_jj,^blindness_jj
blistering,adj,n,strongsubj,_jj,^blistering_jj
bloated,adj,n,strongsubj,_jj,^bloated_jj
block,noun,n,weaksubj,_nn,^block_nn
blockhead,adj,n,strongsubj,_jj,^blockhead_jj
blood,noun,n,weaksubj,_nn,^blood_nn
bloodshed,noun,n,strongsubj,_nn,^bloodshed_nn
bloodthirsty,adj,n,strongsubj,_jj,^bloodthirsty_jj
bloody,adj,n,weaksubj,_jj,^bloody_jj
blow,adj,n,weaksubj,_jj,^blow_jj
blow,noun,n,weaksubj,_nn,^blow_nn
blunder,adj,n,strongsubj,_jj,^blunder_jj
blunder,noun,n,strongsubj,_nn,^blunder_nn
blunt,adj,n,strongsubj,_jj,^blunt_jj
boastful,adj,n,strongsubj,_jj,^boastful_jj
bogus,adj,n,strongsubj,_jj,^bogus_jj
boiling,adverb,n,strongsubj,_rb,^boiling_rb
boisterous,adj,n,strongsubj,_jj,^boisterous_jj
bombardment,adj,n,strongsubj,_jj,^bombardment_jj
bombardment,noun,n,strongsubj,_nn,^bombardment_nn
bombastic,adj,n,strongsubj,_jj,^bombastic_jj
bondage,noun,n,strongsubj,_nn,^bondage_nn
bonkers,adj,n,strongsubj,_jj,^bonkers_jj
bonkers,noun,n,strongsubj,_nn,^bonkers_nn
boredom,noun,n,strongsubj,_nn,^boredom_nn
boring,adj,n,strongsubj,_jj,^boring_jj
bother,noun,n,strongsubj,_nn,^bother_nn
bothersome,adj,n,strongsubj,_jj,^bothersome_jj
boycott,adj,n,weaksubj,_jj,^boycott_jj
boycott,noun,n,weaksubj,_nn,^boycott_nn
braggart,noun,n,strongsubj,_nn,^braggart_nn
bragger,noun,n,strongsubj,_nn,^bragger_nn
brash,adj,n,strongsubj,_jj,^brash_jj
brashness,noun,n,strongsubj,_nn,^brashness_nn
brat,noun,n,strongsubj,_nn,^brat_nn
bravado,noun,n,strongsubj,_nn,^bravado_nn
brazenness,noun,n,strongsubj,_nn,^brazenness_nn
brazenness,noun,n,strongsubj,_nn,^brazenness_nn
breach,adj,n,weaksubj,_jj,^breach_jj
breach,noun,n,weaksubj,_nn,^breach_nn
break-point,adj,n,strongsubj,_jj,^break-point_jj
break-point,noun,n,strongsubj,_nn,^break-point_nn
brimstone,adj,n,strongsubj,_jj,^brimstone_jj
brimstone,noun,n,strongsubj,_nn,^brimstone_nn
brittle,adj,n,weaksubj,_jj,^brittle_jj
broke,adj,n,weaksubj,_jj,^broke_jj
broken-hearted,adj,n,strongsubj,_jj,^broken-hearted_jj
bruise,noun,n,weaksubj,_nn,^bruise_nn
brusque,adj,n,strongsubj,_jj,^brusque_jj
brutal,adj,n,strongsubj,_jj,^brutal_jj
brutalising,adj,n,strongsubj,_jj,^brutalising_jj
brutalising,noun,n,strongsubj,_nn,^brutalising_nn
brutalities,noun,n,strongsubj,_nn,^brutalities_nn
brutality,noun,n,strongsubj,_nn,^brutality_nn
brutalizing,adj,n,strongsubj,_jj,^brutalizing_jj
brute,noun,n,strongsubj,_nn,^brute_nn
brutish,adj,n,strongsubj,_jj,^brutish_jj
bulky,adj,n,weaksubj,_jj,^bulky_jj
bullies,adj,n,strongsubj,_jj,^bullies_jj
bullies,noun,n,strongsubj,_nn,^bullies_nn
bully,adj,n,strongsubj,_jj,^bully_jj
bully,noun,n,strongsubj,_nn,^bully_nn
bum,noun,n,weaksubj,_nn,^bum_nn
bumpy,adj,n,weaksubj,_jj,^bumpy_jj
bunk,noun,n,weaksubj,_nn,^bunk_nn
burden,adj,n,strongsubj,_jj,^burden_jj
burden,noun,n,strongsubj,_nn,^burden_nn
burdensome,adj,n,strongsubj,_jj,^burdensome_jj
busy,adj,n,weaksubj,_jj,^busy_jj
busybody,noun,n,strongsubj,_nn,^busybody_nn
butchery,noun,n,strongsubj,_nn,^butchery_nn
byzantine,adj,n,strongsubj,_jj,^byzantine_jj
calamities,noun,n,strongsubj,_nn,^calamities_nn
calamitous,adj,n,strongsubj,_jj,^calamitous_jj
calamity,noun,n,strongsubj,_nn,^calamity_nn
callous,adj,n,strongsubj,_jj,^callous_jj
calumniation,noun,n,strongsubj,_nn,^calumniation_nn
calumnies,noun,n,strongsubj,_nn,^calumnies_nn
calumnious,adj,n,strongsubj,_jj,^calumnious_jj
calumny,noun,n,strongsubj,_nn,^calumny_nn
cancer,noun,n,weaksubj,_nn,^cancer_nn
cancerous,adj,n,weaksubj,_jj,^cancerous_jj
cannibal,noun,n,strongsubj,_nn,^cannibal_nn
capricious,adj,n,strongsubj,_jj,^capricious_jj
capriciousness,noun,n,strongsubj,_nn,^capriciousness_nn
captive,adj,n,weaksubj,_jj,^captive_jj
careless,adj,n,strongsubj,_jj,^careless_jj
carelessness,noun,n,strongsubj,_nn,^carelessness_nn
carnage,noun,n,strongsubj,_nn,^carnage_nn
cartoon,adj,n,weaksubj,_jj,^cartoon_jj
cartoon,noun,n,weaksubj,_nn,^cartoon_nn
cash-strapped,adj,n,weaksubj,_jj,^cash-strapped_jj
cataclysm,noun,n,strongsubj,_nn,^cataclysm_nn
cataclysmal,adj,n,strongsubj,_jj,^cataclysmal_jj
cataclysmic,adj,n,strongsubj,_jj,^cataclysmic_jj
catastrophe,noun,n,strongsubj,_nn,^catastrophe_nn
catastrophes,noun,n,strongsubj,_nn,^catastrophes_nn
catastrophic,adj,n,strongsubj,_jj,^catastrophic_jj
caustic,adj,n,strongsubj,_jj,^caustic_jj
cautionary,adj,n,strongsubj,_jj,^cautionary_jj
cautious,adj,n,weaksubj,_jj,^cautious_jj
censure,adj,n,strongsubj,_jj,^censure_jj
censure,noun,n,strongsubj,_nn,^censure_nn
chagrin,noun,n,strongsubj,_nn,^chagrin_nn
challenge,noun,n,weaksubj,_nn,^challenge_nn
challenging,adj,n,weaksubj,_jj,^challenging_jj
chaos,noun,n,strongsubj,_nn,^chaos_nn
chaotic,adj,n,strongsubj,_jj,^chaotic_jj
charisma,noun,n,strongsubj,_nn,^charisma_nn
cheap,adj,n,strongsubj,_jj,^cheap_jj
cheat,noun,n,strongsubj,_nn,^cheat_nn
cheerless,adj,n,strongsubj,_jj,^cheerless_jj
childish,adj,n,strongsubj,_jj,^childish_jj
chilly,adj,n,weaksubj,_jj,^chilly_jj
choppy,adj,n,weaksubj,_jj,^choppy_jj
chore,noun,n,weaksubj,_nn,^chore_nn
chronic,adj,n,weaksubj,_jj,^chronic_jj
clamor,noun,n,weaksubj,_nn,^clamor_nn
clamorous,adj,n,weaksubj,_jj,^clamorous_jj
clash,adj,n,weaksubj,_jj,^clash_jj
clash,noun,n,weaksubj,_nn,^clash_nn
clique,noun,n,weaksubj,_nn,^clique_nn
close,adj,n,weaksubj,_jj,^close_jj
clumsy,adj,n,strongsubj,_jj,^clumsy_jj
coarse,adj,n,weaksubj,_jj,^coarse_jj
cocky,adj,n,strongsubj,_jj,^cocky_jj
coercion,noun,n,strongsubj,_nn,^coercion_nn
coercive,adj,n,strongsubj,_jj,^coercive_jj
cold,adj,n,weaksubj,_jj,^cold_jj
coldly,adverb,n,strongsubj,_rb,^coldly_rb
collapse,adj,n,weaksubj,_jj,^collapse_jj
collusion,noun,n,strongsubj,_nn,^collusion_nn
combative,adj,n,weaksubj,_jj,^combative_jj
comedy,noun,n,weaksubj,_nn,^comedy_nn
comedy,adj,n,weaksubj,_jj,^comedy_jj
comical,adj,n,weaksubj,_jj,^comical_jj
commonplace,adj,n,weaksubj,_jj,^commonplace_jj
commotion,adj,n,strongsubj,_jj,^commotion_jj
commotion,noun,n,strongsubj,_nn,^commotion_nn
complacent,adj,n,strongsubj,_jj,^complacent_jj
complacent,noun,n,strongsubj,_nn,^complacent_nn
complaining,adj,n,strongsubj,_jj,^complaining_jj
complaining,noun,n,strongsubj,_nn,^complaining_nn
complaint,noun,n,strongsubj,_nn,^complaint_nn
complaints,adj,n,strongsubj,_jj,^complaints_jj
complaints,noun,n,strongsubj,_nn,^complaints_nn
complex,adj,n,weaksubj,_jj,^complex_jj
complicated,adj,n,weaksubj,_jj,^complicated_jj
complication,noun,n,weaksubj,_nn,^complication_nn
complicit,adj,n,strongsubj,_jj,^complicit_jj
compulsion,noun,n,strongsubj,_nn,^compulsion_nn
compulsive,adj,n,strongsubj,_jj,^compulsive_jj
compulsory,adj,n,weaksubj,_jj,^compulsory_jj
conceit,noun,n,strongsubj,_nn,^conceit_nn
conceited,adj,n,strongsubj,_jj,^conceited_jj
concern,adj,n,strongsubj,_jj,^concern_jj
concern,noun,n,strongsubj,_nn,^concern_nn
concerns,adj,n,strongsubj,_jj,^concerns_jj
concerns,noun,n,strongsubj,_nn,^concerns_nn
concession,adj,n,weaksubj,_jj,^concession_jj
concession,noun,n,weaksubj,_nn,^concession_nn
concessions,adj,n,weaksubj,_jj,^concessions_jj
concessions,noun,n,weaksubj,_nn,^concessions_nn
condescending,adj,n,strongsubj,_jj,^condescending_jj
condescendingly,adverb,n,strongsubj,_rb,^condescendingly_rb
condescension,noun,n,strongsubj,_nn,^condescension_nn
condemnable,adj,n,strongsubj,_jj,^condemnable_jj
condemnation,noun,n,strongsubj,_nn,^condemnation_nn
condolence,noun,n,strongsubj,_nn,^condolence_nn
condolences,adj,n,strongsubj,_jj,^condolences_jj
condolences,noun,n,strongsubj,_nn,^condolences_nn
confession,noun,n,strongsubj,_nn,^confession_nn
confessions,adj,n,strongsubj,_jj,^confessions_jj
confessions,noun,n,strongsubj,_nn,^confessions_nn
conflict,adj,n,weaksubj,_jj,^conflict_jj
conflict,noun,n,weaksubj,_nn,^conflict_nn
confrontation,adj,n,strongsubj,_jj,^confrontation_jj
confrontation,noun,n,strongsubj,_nn,^confrontation_nn
confrontational,adj,n,weaksubj,_jj,^confrontational_jj
confusing,adj,n,strongsubj,_jj,^confusing_jj
confusion,adj,n,strongsubj,_jj,^confusion_jj
confusion,noun,n,strongsubj,_nn,^confusion_nn
congested,adj,n,weaksubj,_jj,^congested_jj
congestion,noun,n,weaksubj,_nn,^congestion_nn
conspicuous,adj,n,strongsubj,_jj,^conspicuous_jj
conspicuous,noun,n,strongsubj,_nn,^conspicuous_nn
conspiracies,adj,n,weaksubj,_jj,^conspiracies_jj
conspiracies,noun,n,weaksubj,_nn,^conspiracies_nn
conspiracy,adj,n,weaksubj,_jj,^conspiracy_jj
conspiracy,noun,n,weaksubj,_nn,^conspiracy_nn
conspirator,adj,n,strongsubj,_jj,^conspirator_jj
conspirator,noun,n,strongsubj,_nn,^conspirator_nn
consternation,noun,n,strongsubj,_nn,^consternation_nn
constraint,noun,n,weaksubj,_nn,^constraint_nn
contagious,adj,n,weaksubj,_jj,^contagious_jj
contamination,noun,n,weaksubj,_nn,^contamination_nn
contempt,noun,n,strongsubj,_nn,^contempt_nn
contemptible,adj,n,strongsubj,_jj,^contemptible_jj
contemptuous,adj,n,strongsubj,_jj,^contemptuous_jj
contention,noun,n,strongsubj,_nn,^contention_nn
contentious,adj,n,strongsubj,_jj,^contentious_jj
contentious,noun,n,strongsubj,_nn,^contentious_nn
contortions,adj,n,strongsubj,_jj,^contortions_jj
contortions,noun,n,strongsubj,_nn,^contortions_nn
contradiction,noun,n,strongsubj,_nn,^contradiction_nn
contradictory,adj,n,strongsubj,_jj,^contradictory_jj
contrary,adj,n,strongsubj,_jj,^contrary_jj
controversial,adj,n,weaksubj,_jj,^controversial_jj
controversial,noun,n,weaksubj,_nn,^controversial_nn
controversy,adj,n,weaksubj,_jj,^controversy_jj
controversy,noun,n,weaksubj,_nn,^controversy_nn
convoluted,adj,n,strongsubj,_jj,^convoluted_jj
coping,adj,n,weaksubj,_jj,^coping_jj
coping,noun,n,weaksubj,_nn,^coping_nn
corrosion,noun,n,weaksubj,_nn,^corrosion_nn
corrosive,adj,n,weaksubj,_jj,^corrosive_jj
corrupt,adj,n,strongsubj,_jj,^corrupt_jj
corruption,noun,n,strongsubj,_nn,^corruption_nn
costly,adj,n,weaksubj,_jj,^costly_jj
counterproductive,adj,n,strongsubj,_jj,^counterproductive_jj
coupists,adj,n,strongsubj,_jj,^coupists_jj
