"","words","pos","stemmed","type","pattern"
"423","blasphemous","anypos","y","strongsubj","^blasphemous$"
"425","blast","anypos","y","weaksubj","^blast$"
"426","blasted","anypos","y","strongsubj","^blasted$"
"431","bleakly","anypos","n","strongsubj","^bleakly$"
"436","blind","anypos","n","weaksubj","^blind$"
"438","blinding","anypos","y","strongsubj","^blinding$"
"456","blundering","anypos","n","strongsubj","^blundering$"
"457","blunders","anypos","n","strongsubj","^blunders$"
"479","boring","anypos","y","strongsubj","^boring$"
"487","braggart","anypos","y","strongsubj","^braggart$"
"489","bragger","anypos","y","strongsubj","^bragger$"
"493","brashly","anypos","n","strongsubj","^brashly$"
"497","brazen","anypos","n","strongsubj","^brazen$"
"498","brazenly","anypos","n","strongsubj","^brazenly$"
"499","brazenly","anypos","n","strongsubj","^brazenly$"
"521","brutalities","anypos","n","strongsubj","^brutalities$"
"526","brutally","anypos","n","strongsubj","^brutally$"
"536","bullyingly","anypos","n","strongsubj","^bullyingly$"
"540","bungler","anypos","y","strongsubj","^bungler$"
"545","burdensome","anypos","y","strongsubj","^burdensome$"
"546","burdensomely","anypos","y","strongsubj","^burdensomely$"
"557","calamitously","anypos","n","strongsubj","^calamitously$"
"558","calamity","anypos","y","strongsubj","^calamity$"
"565","calumniously","anypos","n","strongsubj","^calumniously$"
"573","capriciously","anypos","n","strongsubj","^capriciously$"
"584","cartoonish","anypos","y","strongsubj","^cartoonish$"
"591","cataclysmically","anypos","n","strongsubj","^cataclysmically$"
"592","catastrophe","anypos","y","strongsubj","^catastrophe$"
"596","catastrophic","anypos","y","strongsubj","^catastrophic$"
"597","catastrophically","anypos","n","strongsubj","^catastrophically$"
"599","caustically","anypos","n","strongsubj","^caustically$"
"618","chastisement","anypos","y","strongsubj","^chastisement$"
"620","chatterbox","anypos","y","strongsubj","^chatterbox$"
"625","cheater","anypos","y","strongsubj","^cheater$"
"631","chit","anypos","y","strongsubj","^chit$"
"640","cliche","anypos","n","strongsubj","^cliche$"
"641","cliched","anypos","n","strongsubj","^cliched$"
"690","concerned","anypos","y","strongsubj","^concerned$"
"701","condemn","anypos","y","strongsubj","^condemn$"
"714","confound","anypos","y","weaksubj","^confound$"
"716","confounded","anypos","y","weaksubj","^confounded$"
"717","confounding","anypos","y","weaksubj","^confounding$"
"723","confused","anypos","y","strongsubj","^confused$"
"725","confusing","anypos","y","strongsubj","^confusing$"
"732","conspicuously","anypos","y","strongsubj","^conspicuously$"
"739","conspiratorial","anypos","n","strongsubj","^conspiratorial$"
"751","contemptuously","anypos","n","strongsubj","^contemptuously$"
"762","contrariness","anypos","n","strongsubj","^contrariness$"
"766","contrived","anypos","n","strongsubj","^contrived$"
"785","covetous","anypos","n","strongsubj","^covetous$"
"788","cowardly","anypos","n","strongsubj","^cowardly$"
"795","craven","anypos","y","strongsubj","^craven$"
"796","cravenly","anypos","n","strongsubj","^cravenly$"
"798","crazily","anypos","n","strongsubj","^crazily$"
"800","crazy","anypos","n","strongsubj","^crazy$"
"810","critical","anypos","y","strongsubj","^critical$"
"837","cursed","anypos","n","strongsubj","^cursed$"
"852","damnable","anypos","n","strongsubj","^damnable$"
"853","damnably","anypos","n","strongsubj","^damnably$"
"854","damnation","anypos","n","strongsubj","^damnation$"
"855","damned","anypos","n","strongsubj","^damned$"
"856","damning","anypos","n","strongsubj","^damning$"
"866","darn","anypos","y","strongsubj","^darn$"
"869","dastardly","anypos","y","strongsubj","^dastardly$"
"871","daunting","anypos","n","strongsubj","^daunting$"
"872","dauntingly","anypos","n","strongsubj","^dauntingly$"
"889","debatable","anypos","n","strongsubj","^debatable$"
"901","decayed","anypos","n","strongsubj","^decayed$"
"903","deceitful","anypos","n","strongsubj","^deceitful$"
"904","deceitfully","anypos","n","strongsubj","^deceitfully$"
"905","deceitfulness","anypos","n","strongsubj","^deceitfulness$"
"914","deceptively","anypos","n","strongsubj","^deceptively$"
"931","defamatory","anypos","n","strongsubj","^defamatory$"
"941","defiantly","anypos","n","strongsubj","^defiantly$"
"954","degenerately","anypos","n","strongsubj","^degenerately$"
"959","degradingly","anypos","n","strongsubj","^degradingly$"
"977","delusional","anypos","y","strongsubj","^delusional$"
"987","demonize","anypos","y","strongsubj","^demonize$"
"990","demoralizing","anypos","n","strongsubj","^demoralizing$"
"991","demoralizingly","anypos","n","strongsubj","^demoralizingly$"
"1001","deplorable","anypos","y","strongsubj","^deplorable$"
"1002","deplorably","anypos","n","strongsubj","^deplorably$"
"1005","deploringly","anypos","n","strongsubj","^deploringly$"
"1008","depravedly","anypos","n","strongsubj","^depravedly$"
"1013","depressing","anypos","n","strongsubj","^depressing$"
"1014","depressingly","anypos","y","strongsubj","^depressingly$"
"1021","derisive","anypos","n","strongsubj","^derisive$"
"1022","derisively","anypos","n","strongsubj","^derisively$"
"1023","derisiveness","anypos","n","strongsubj","^derisiveness$"
"1031","desolately","anypos","n","strongsubj","^desolately$"
"1036","despairingly","anypos","n","strongsubj","^despairingly$"
"1038","desperately","anypos","y","strongsubj","^desperately$"
"1041","despicably","anypos","y","strongsubj","^despicably$"
"1044","despised","anypos","n","strongsubj","^despised$"
"1045","despite","anypos","n","strongsubj","^despite$"
"1051","despondently","anypos","n","strongsubj","^despondently$"
"1071","deterrent","anypos","n","weaksubj","^deterrent$"
"1073","detestable","anypos","n","strongsubj","^detestable$"
"1074","detestably","anypos","n","strongsubj","^detestably$"
"1079","devastate","anypos","y","strongsubj","^devastate$"
"1080","devastated","anypos","n","strongsubj","^devastated$"
"1081","devastating","anypos","n","strongsubj","^devastating$"
"1082","devastatingly","anypos","n","strongsubj","^devastatingly$"
"1090","devilishly","anypos","n","strongsubj","^devilishly$"
"1093","devious","anypos","n","strongsubj","^devious$"
"1094","deviously","anypos","n","strongsubj","^deviously$"
"1101","diatribe","anypos","n","strongsubj","^diatribe$"
"1102","diatribes","anypos","n","strongsubj","^diatribes$"
"1120","dim","anypos","y","weaksubj","^dim$"
"1126","direly","anypos","n","strongsubj","^direly$"
"1130","dirty","anypos","y","weaksubj","^dirty$"
"1142","disagreeable","anypos","y","strongsubj","^disagreeable$"
"1143","disagreeably","anypos","y","strongsubj","^disagreeably$"
"1149","disappointing","anypos","n","strongsubj","^disappointing$"
"1150","disappointingly","anypos","y","strongsubj","^disappointingly$"
"1156","disapprove","anypos","y","strongsubj","^disapprove$"
"1157","disapproving","anypos","n","strongsubj","^disapproving$"
"1163","disastrously","anypos","n","strongsubj","^disastrously$"
"1177","disconcerting","anypos","n","strongsubj","^disconcerting$"
"1178","disconcertingly","anypos","n","strongsubj","^disconcertingly$"
"1194","discouraging","anypos","n","strongsubj","^discouraging$"
"1195","discouragingly","anypos","n","strongsubj","^discouragingly$"
"1206","disdainful","anypos","n","strongsubj","^disdainful$"
"1207","disdainfully","anypos","n","strongsubj","^disdainfully$"
"1214","disgraceful","anypos","n","strongsubj","^disgraceful$"
"1215","disgracefully","anypos","n","strongsubj","^disgracefully$"
"1221","disgustedly","anypos","n","strongsubj","^disgustedly$"
"1223","disgustfully","anypos","n","strongsubj","^disgustfully$"
"1224","disgusting","anypos","n","strongsubj","^disgusting$"
"1225","disgustingly","anypos","n","strongsubj","^disgustingly$"
"1227","disheartening","anypos","n","strongsubj","^disheartening$"
"1228","dishearteningly","anypos","n","strongsubj","^dishearteningly$"
"1231","dishonestly","anypos","n","strongsubj","^dishonestly$"
"1241","disinclined","anypos","n","strongsubj","^disinclined$"
"1253","disloyalty","anypos","n","strongsubj","^disloyalty$"
"1255","dismally","anypos","n","strongsubj","^dismally$"
"1260","dismaying","anypos","n","strongsubj","^dismaying$"
"1261","dismayingly","anypos","n","strongsubj","^dismayingly$"
"1264","dismissively","anypos","n","strongsubj","^dismissively$"
"1279","disparagingly","anypos","n","strongsubj","^disparagingly$"
"1284","dispiriting","anypos","y","strongsubj","^dispiriting$"
"1293","disputable","anypos","n","strongsubj","^disputable$"
"1298","disquieting","anypos","n","strongsubj","^disquieting$"
"1299","disquietingly","anypos","n","strongsubj","^disquietingly$"
"1309","disrespectful","anypos","n","strongsubj","^disrespectful$"
"1310","disrespectfully","anypos","n","strongsubj","^disrespectfully$"
"1323","dissatisfying","anypos","y","strongsubj","^dissatisfying$"
"1357","distraughtly","anypos","n","strongsubj","^distraughtly$"
"1362","distressingly","anypos","n","strongsubj","^distressingly$"
"1365","distrusting","anypos","n","strongsubj","^distrusting$"
"1370","disturbing","anypos","n","strongsubj","^disturbing$"
"1371","disturbingly","anypos","n","strongsubj","^disturbingly$"
"1434","dread","anypos","n","strongsubj","^dread$"
"1436","dreadful","anypos","n","strongsubj","^dreadful$"
"1437","dreadfully","anypos","n","strongsubj","^dreadfully$"
"1445","drowning","anypos","n","weaksubj","^drowning$"
"1452","dud","anypos","n","weaksubj","^dud$"
"1469","dying","anypos","n","weaksubj","^dying$"
"1475","effrontery","anypos","n","strongsubj","^effrontery$"
"1484","egregiously","anypos","n","strongsubj","^egregiously$"
"1490","emaciated","anypos","n","strongsubj","^emaciated$"
"1493","embarrassing","anypos","n","strongsubj","^embarrassing$"
"1494","embarrassingly","anypos","n","strongsubj","^embarrassingly$"
"1503","emphatic","anypos","n","strongsubj","^emphatic$"
"1504","emphatically","anypos","n","strongsubj","^emphatically$"
"1523","enormous","anypos","n","strongsubj","^enormous$"
"1524","enormously","anypos","n","strongsubj","^enormously$"
"1533","enviously","anypos","n","strongsubj","^enviously$"
"1548","erroneous","anypos","y","strongsubj","^erroneous$"
"1549","erroneously","anypos","n","strongsubj","^erroneously$"
"1574","exasperatingly","anypos","y","strongsubj","^exasperatingly$"
"1581","excruciating","anypos","n","strongsubj","^excruciating$"
"1582","excruciatingly","anypos","n","strongsubj","^excruciatingly$"
"1594","exorbitantly","anypos","n","strongsubj","^exorbitantly$"
"1623","extravagantly","anypos","n","strongsubj","^extravagantly$"
"1625","extreme","anypos","n","strongsubj","^extreme$"
"1626","extremely","anypos","n","strongsubj","^extremely$"
"1636","fading","anypos","n","weaksubj","^fading$"
"1656","false","anypos","n","strongsubj","^false$"
"1658","falsely","anypos","n","strongsubj","^falsely$"
"1665","fanatically","anypos","n","strongsubj","^fanatically$"
"1672","farcical","anypos","n","strongsubj","^farcical$"
"1674","farcically","anypos","n","strongsubj","^farcically$"
"1677","fascist","anypos","n","strongsubj","^fascist$"
"1701","fearfully","anypos","n","strongsubj","^fearfully$"
"1748","flabbergasted","anypos","n","strongsubj","^flabbergasted$"
"1750","flagrant","anypos","n","strongsubj","^flagrant$"
"1751","flagrantly","anypos","n","strongsubj","^flagrantly$"
"1759","flashy","anypos","y","weaksubj","^flashy$"
"1760","flat-out","anypos","n","strongsubj","^flat-out$"
"1773","flirty","anypos","y","strongsubj","^flirty$"
"1774","floored","anypos","y","strongsubj","^floored$"
"1776","floundering","anypos","n","strongsubj","^floundering$"
"1780","fool","anypos","y","strongsubj","^fool$"
"1782","foolish","anypos","y","strongsubj","^foolish$"
"1783","foolishly","anypos","n","strongsubj","^foolishly$"
"1796","forgetful","anypos","n","strongsubj","^forgetful$"
"1797","forgetfully","anypos","n","strongsubj","^forgetfully$"
"1803","forsaken","anypos","n","strongsubj","^forsaken$"
"1811","fractiously","anypos","n","strongsubj","^fractiously$"
"1819","frantically","anypos","n","strongsubj","^frantically$"
"1820","franticly","anypos","n","strongsubj","^franticly$"
"1830","freakish","anypos","n","strongsubj","^freakish$"
"1831","freakish","anypos","y","strongsubj","^freakish$"
"1832","freakishly","anypos","n","strongsubj","^freakishly$"
"1837","frenetically","anypos","n","strongsubj","^frenetically$"
"1846","friggin","anypos","n","strongsubj","^friggin$"
"1847","fright","anypos","y","strongsubj","^fright$"
"1852","frighteningly","anypos","n","strongsubj","^frighteningly$"
"1854","frightfully","anypos","n","strongsubj","^frightfully$"
"1861","fruitlessly","anypos","n","strongsubj","^fruitlessly$"
"1867","frustrating","anypos","n","strongsubj","^frustrating$"
"1868","frustratingly","anypos","n","strongsubj","^frustratingly$"
"1880","furiously","anypos","n","strongsubj","^furiously$"
"1887","fussy","anypos","n","strongsubj","^fussy$"
"1890","futilely","anypos","n","strongsubj","^futilely$"
"1898","gaga","anypos","n","strongsubj","^gaga$"
"1916","geezer","anypos","y","strongsubj","^geezer$"
"1924","gibberish","anypos","n","strongsubj","^gibberish$"
"1940","gnawing","anypos","n","weaksubj","^gnawing$"
"1943","god-awful","anypos","n","strongsubj","^god-awful$"
"1944","goddam","anypos","n","strongsubj","^goddam$"
"1945","goddamn","anypos","n","strongsubj","^goddamn$"
"1960","gratuitously","anypos","y","strongsubj","^gratuitously$"
"1971","grievous","anypos","n","strongsubj","^grievous$"
"1972","grievously","anypos","n","strongsubj","^grievously$"
"1983","grossly","anypos","n","strongsubj","^grossly$"
"1990","grudge","anypos","y","strongsubj","^grudge$"
"1993","grudging","anypos","n","strongsubj","^grudging$"
"1994","grudgingly","anypos","y","strongsubj","^grudgingly$"
"1995","gruesome","anypos","n","strongsubj","^gruesome$"
"1996","gruesomely","anypos","n","strongsubj","^gruesomely$"
"2037","hardly","anypos","n","strongsubj","^hardly$"
"2051","harshly","anypos","y","strongsubj","^harshly$"
"2060","hatefully","anypos","n","strongsubj","^hatefully$"
"2104","hellion","anypos","y","strongsubj","^hellion$"
"2124","hopelessly","anypos","n","strongsubj","^hopelessly$"
"2128","horrendously","anypos","n","strongsubj","^horrendously$"
"2130","horrible","anypos","y","strongsubj","^horrible$"
"2131","horribly","anypos","n","strongsubj","^horribly$"
"2134","horrifically","anypos","n","strongsubj","^horrifically$"
"2137","horrifying","anypos","n","strongsubj","^horrifying$"
"2138","horrifyingly","anypos","n","strongsubj","^horrifyingly$"
"2156","humbling","anypos","n","strongsubj","^humbling$"
"2173","hysterical","anypos","n","strongsubj","^hysterical$"
"2174","hysterically","anypos","n","strongsubj","^hysterically$"
"2177","idiocies","anypos","n","strongsubj","^idiocies$"
"2178","idiocy","anypos","n","strongsubj","^idiocy$"
"2179","idiot","anypos","n","strongsubj","^idiot$"
"2180","idiotic","anypos","n","strongsubj","^idiotic$"
"2181","idiotically","anypos","n","strongsubj","^idiotically$"
"2182","idiots","anypos","n","strongsubj","^idiots$"
"2226","imbecile","anypos","n","strongsubj","^imbecile$"
"2233","immobilized","anypos","n","weaksubj","^immobilized$"
"2239","immorally","anypos","n","strongsubj","^immorally$"
"2264","impetuously","anypos","n","strongsubj","^impetuously$"
"2270","implausibly","anypos","n","strongsubj","^implausibly$"
"2312","impudently","anypos","n","strongsubj","^impudently$"
"2347","incendiary","anypos","n","strongsubj","^incendiary$"
"2390","inconsolably","anypos","n","strongsubj","^inconsolably$"
"2394","inconvenient","anypos","n","strongsubj","^inconvenient$"
"2395","inconveniently","anypos","n","strongsubj","^inconveniently$"
"2396","incorrect","anypos","n","weaksubj","^incorrect$"
"2397","incorrectly","anypos","n","strongsubj","^incorrectly$"
"2401","incredulously","anypos","n","strongsubj","^incredulously$"
"2405","indecently","anypos","n","strongsubj","^indecently$"
"2422","indignantly","anypos","n","strongsubj","^indignantly$"
"2430","indiscretion","anypos","y","strongsubj","^indiscretion$"
"2437","indoctrinate","anypos","y","strongsubj","^indoctrinate$"
"2460","ineptitude","anypos","y","strongsubj","^ineptitude$"
"2462","ineptly","anypos","n","strongsubj","^ineptly$"
"2496","infected","anypos","n","weaksubj","^infected$"
"2521","infuriating","anypos","n","strongsubj","^infuriating$"
"2522","infuriatingly","anypos","n","strongsubj","^infuriatingly$"
"2549","inordinately","anypos","n","strongsubj","^inordinately$"
"2551","insanely","anypos","n","strongsubj","^insanely$"
"2563","insidiously","anypos","n","strongsubj","^insidiously$"
"2576","insolence","anypos","n","strongsubj","^insolence$"
"2579","insolently","anypos","n","strongsubj","^insolently$"
"2600","insulting","anypos","n","strongsubj","^insulting$"
"2601","insultingly","anypos","n","strongsubj","^insultingly$"
"2615","intimidating","anypos","n","strongsubj","^intimidating$"
"2616","intimidatingly","anypos","n","strongsubj","^intimidatingly$"
"2620","intolerablely","anypos","n","strongsubj","^intolerablely$"
"2623","intolerant","anypos","n","strongsubj","^intolerant$"
"2628","intransigent","anypos","n","strongsubj","^intransigent$"
"2633","inundated","anypos","n","strongsubj","^inundated$"
"2640","invective","anypos","n","strongsubj","^invective$"
"2643","invidiously","anypos","n","strongsubj","^invidiously$"
"2648","irately","anypos","n","strongsubj","^irately$"
"2651","irksome","anypos","n","strongsubj","^irksome$"
"2655","irony","anypos","n","strongsubj","^irony$"
"2658","irrationally","anypos","n","strongsubj","^irrationally$"
"2685","irritating","anypos","n","strongsubj","^irritating$"
"2698","jealously","anypos","n","strongsubj","^jealously$"
"2703","jeering","anypos","y","strongsubj","^jeering$"
"2704","jeeringly","anypos","y","strongsubj","^jeeringly$"
"2708","jerk","anypos","y","strongsubj","^jerk$"
"2739","lackluster","anypos","y","strongsubj","^lackluster$"
"2747","lamentable","anypos","n","strongsubj","^lamentable$"
"2748","lamentably","anypos","n","strongsubj","^lamentably$"
"2761","laughable","anypos","n","strongsubj","^laughable$"
"2762","laughably","anypos","n","strongsubj","^laughably$"
"2766","lawbreaking","anypos","n","strongsubj","^lawbreaking$"
"2776","least","anypos","n","weaksubj","^least$"
"2794","lesser","anypos","n","weaksubj","^lesser$"
"2830","livid","anypos","n","strongsubj","^livid$"
"2831","lividly","anypos","n","strongsubj","^lividly$"
"2835","loathing","anypos","n","strongsubj","^loathing$"
"2836","loathly","anypos","n","strongsubj","^loathly$"
"2838","loathsomely","anypos","n","strongsubj","^loathsomely$"
"2846","longingly","anypos","n","strongsubj","^longingly$"
"2865","ludicrously","anypos","n","strongsubj","^ludicrously$"
"2878","lying","anypos","n","strongsubj","^lying$"
"2882","maddening","anypos","n","strongsubj","^maddening$"
"2883","maddeningly","anypos","n","strongsubj","^maddeningly$"
"2886","madly","anypos","n","strongsubj","^madly$"
"2900","malevolently","anypos","n","strongsubj","^malevolently$"
"2903","maliciously","anypos","n","strongsubj","^maliciously$"
"2934","mawkish","anypos","n","strongsubj","^mawkish$"
"2935","mawkishly","anypos","n","strongsubj","^mawkishly$"
"2936","mawkishness","anypos","n","strongsubj","^mawkishness$"
"2944","meddlesome","anypos","y","strongsubj","^meddlesome$"
"2952","menacing","anypos","n","strongsubj","^menacing$"
"2953","menacingly","anypos","n","strongsubj","^menacingly$"
"2960","mere","anypos","y","strongsubj","^mere$"
"2961","merely","anypos","y","strongsubj","^merely$"
"2971","mindless","anypos","n","strongsubj","^mindless$"
"2972","mindlessly","anypos","n","strongsubj","^mindlessly$"
"2988","mischievous","anypos","n","strongsubj","^mischievous$"
"2989","mischievously","anypos","n","strongsubj","^mischievously$"
"2990","misconception","anypos","n","strongsubj","^misconception$"
"2997","miserly","anypos","n","strongsubj","^miserly$"
"3000","miserably","anypos","n","strongsubj","^miserably$"
"3002","misery","anypos","n","strongsubj","^misery$"
"3020","misleading","anypos","n","strongsubj","^misleading$"
"3021","misleadingly","anypos","y","strongsubj","^misleadingly$"
"3028","misrepresentation","anypos","y","strongsubj","^misrepresentation$"
"3039","mistrustful","anypos","y","strongsubj","^mistrustful$"
"3040","mistrustfully","anypos","y","strongsubj","^mistrustfully$"
"3055","mockingly","anypos","n","strongsubj","^mockingly$"
"3064","monstrously","anypos","n","strongsubj","^monstrously$"
"3078","mortifying","anypos","n","strongsubj","^mortifying$"
"3083","mournful","anypos","n","strongsubj","^mournful$"
"3084","mournfully","anypos","n","strongsubj","^mournfully$"
"3098","muscle-flexing","anypos","n","strongsubj","^muscle-flexing$"
"3107","nagging","anypos","y","strongsubj","^nagging$"
"3113","nastily","anypos","n","strongsubj","^nastily$"
"3124","nebulously","anypos","n","strongsubj","^nebulously$"
"3131","nefariously","anypos","n","strongsubj","^nefariously$"
"3158","nonsense","anypos","n","strongsubj","^nonsense$"
"3179","obnoxiously","anypos","n","strongsubj","^obnoxiously$"
"3181","obscenely","anypos","n","strongsubj","^obscenely$"
"3185","obscurity","anypos","y","strongsubj","^obscurity$"
"3190","obsessively","anypos","n","strongsubj","^obsessively$"
"3196","obstinately","anypos","n","strongsubj","^obstinately$"
"3201","obviously","anypos","n","strongsubj","^obviously$"
"3203","odd","anypos","y","weaksubj","^odd$"
"3204","odder","anypos","y","strongsubj","^odder$"
"3205","oddest","anypos","y","strongsubj","^oddest$"
"3209","oddly","anypos","n","strongsubj","^oddly$"
"3214","offending","anypos","n","strongsubj","^offending$"
"3218","offensive","anypos","y","weaksubj","^offensive$"
"3220","offensively","anypos","n","strongsubj","^offensively$"
"3224","ominously","anypos","n","strongsubj","^ominously$"
"3228","one-sided","anypos","n","strongsubj","^one-sided$"
"3230","onerously","anypos","n","strongsubj","^onerously$"
"3245","oppressively","anypos","n","strongsubj","^oppressively$"
"3266","outrageous","anypos","y","strongsubj","^outrageous$"
"3267","outrageously","anypos","n","strongsubj","^outrageously$"
"3271","over-acted","anypos","n","strongsubj","^over-acted$"
"3274","overact","anypos","y","strongsubj","^overact$"
"3276","overacted","anypos","n","strongsubj","^overacted$"
"3285","overdone","anypos","n","strongsubj","^overdone$"
"3300","overstate","anypos","y","strongsubj","^overstate$"
"3303","overstatements","anypos","n","strongsubj","^overstatements$"
"3309","overwhelmingly","anypos","n","strongsubj","^overwhelmingly$"
"3349","pathetically","anypos","n","strongsubj","^pathetically$"
"3358","peculiar","anypos","n","strongsubj","^peculiar$"
"3359","peculiarly","anypos","y","strongsubj","^peculiarly$"
"3381","perplexing","anypos","n","strongsubj","^perplexing$"
"3392","perversely","anypos","n","strongsubj","^perversely$"
"3396","perverted","anypos","n","strongsubj","^perverted$"
"3399","pessimistically","anypos","n","strongsubj","^pessimistically$"
"3441","plunderer","anypos","n","strongsubj","^plunderer$"
"3481","preposterously","anypos","n","strongsubj","^preposterously$"
"3486","presumptuous","anypos","y","strongsubj","^presumptuous$"
"3487","presumptuously","anypos","n","strongsubj","^presumptuously$"
"3493","pretentious","anypos","n","strongsubj","^pretentious$"
"3494","pretentiously","anypos","n","strongsubj","^pretentiously$"
"3539","pugnaciously","anypos","n","strongsubj","^pugnaciously$"
"3553","puzzled","anypos","n","strongsubj","^puzzled$"
"3555","puzzling","anypos","n","strongsubj","^puzzling$"
"3563","quarrellous","anypos","n","strongsubj","^quarrellous$"
"3564","quarrellously","anypos","n","strongsubj","^quarrellously$"
"3565","quarrels","anypos","n","strongsubj","^quarrels$"
"3570","questionable","anypos","y","strongsubj","^questionable$"
"3577","racist","anypos","n","strongsubj","^racist$"
"3579","racists","anypos","n","strongsubj","^racists$"
"3583","radical","anypos","n","strongsubj","^radical$"
"3587","radically","anypos","n","strongsubj","^radically$"
"3588","radicals","anypos","n","strongsubj","^radicals$"
"3600","rant","anypos","y","strongsubj","^rant$"
"3603","rantingly","anypos","n","strongsubj","^rantingly$"
"3620","recklessly","anypos","n","strongsubj","^recklessly$"
"3639","regretful","anypos","n","strongsubj","^regretful$"
"3640","regretfully","anypos","n","strongsubj","^regretfully$"
"3641","regrettable","anypos","n","strongsubj","^regrettable$"
"3642","regrettably","anypos","n","strongsubj","^regrettably$"
"3647","relentless","anypos","n","strongsubj","^relentless$"
"3648","relentlessly","anypos","n","strongsubj","^relentlessly$"
"3654","remorse","anypos","y","strongsubj","^remorse$"
"3657","remorseful","anypos","y","strongsubj","^remorseful$"
"3658","remorsefully","anypos","n","strongsubj","^remorsefully$"
"3660","remorselessly","anypos","n","strongsubj","^remorselessly$"
"3667","reprehensible","anypos","y","strongsubj","^reprehensible$"
"3668","reprehensibly","anypos","n","strongsubj","^reprehensibly$"
"3681","reprovingly","anypos","n","strongsubj","^reprovingly$"
"3688","repugnantly","anypos","n","strongsubj","^repugnantly$"
"3690","repulsed","anypos","n","weaksubj","^repulsed$"
"3691","repulsing","anypos","n","strongsubj","^repulsing$"
"3692","repulsive","anypos","n","strongsubj","^repulsive$"
"3693","repulsively","anypos","n","strongsubj","^repulsively$"
"3724","revengefully","anypos","n","strongsubj","^revengefully$"
"3730","revolting","anypos","n","strongsubj","^revolting$"
"3731","revoltingly","anypos","n","strongsubj","^revoltingly$"
"3742","ridiculous","anypos","n","strongsubj","^ridiculous$"
"3743","ridiculously","anypos","n","strongsubj","^ridiculously$"
"3753","riled","anypos","n","strongsubj","^riled$"
