words,pos,stemmed,type,pattern
daringly,anypos,n,strongsubj,^daringly$
darling,anypos,y,strongsubj,^darling$
daydreamer,anypos,y,strongsubj,^daydreamer$
dazzling,anypos,n,strongsubj,^dazzling$
definitely,anypos,y,weaksubj,^definitely$
definitively,anypos,n,strongsubj,^definitively$
delightful,anypos,n,strongsubj,^delightful$
delightfully,anypos,n,strongsubj,^delightfully$
desirous,anypos,n,strongsubj,^desirous$
discerning,anypos,n,strongsubj,^discerning$
divine,anypos,y,strongsubj,^divine$
divinely,anypos,n,strongsubj,^divinely$
eagerly,anypos,n,strongsubj,^eagerly$
earnestly,anypos,n,strongsubj,^earnestly$
earnestness,anypos,n,strongsubj,^earnestness$
easier,anypos,y,weaksubj,^easier$
easiest,anypos,y,weaksubj,^easiest$
easily,anypos,y,weaksubj,^easily$
easiness,anypos,y,weaksubj,^easiness$
ebulliently,anypos,n,strongsubj,^ebulliently$
ecstatically,anypos,n,strongsubj,^ecstatically$
effusively,anypos,n,strongsubj,^effusively$
elite,anypos,n,weaksubj,^elite$
eloquently,anypos,n,strongsubj,^eloquently$
enchanted,anypos,n,strongsubj,^enchanted$
enchanting,anypos,n,strongsubj,^enchanting$
enchantingly,anypos,n,strongsubj,^enchantingly$
encouragingly,anypos,n,strongsubj,^encouragingly$
engrossing,anypos,n,strongsubj,^engrossing$
enraptured,anypos,y,strongsubj,^enraptured$
enthralled,anypos,y,strongsubj,^enthralled$
enticing,anypos,n,strongsubj,^enticing$
enticingly,anypos,n,strongsubj,^enticingly$
entranced,anypos,y,strongsubj,^entranced$
entreatingly,anypos,n,strongsubj,^entreatingly$
enviably,anypos,n,strongsubj,^enviably$
especially,anypos,n,strongsubj,^especially$
euphorically,anypos,n,strongsubj,^euphorically$
evident,anypos,y,weaksubj,^evident$
evidently,anypos,y,strongsubj,^evidently$
exaltingly,anypos,n,strongsubj,^exaltingly$
exceedingly,anypos,n,strongsubj,^exceedingly$
excellent,anypos,n,strongsubj,^excellent$
excellently,anypos,n,strongsubj,^excellently$
exceptional,anypos,n,strongsubj,^exceptional$
exceptionally,anypos,n,strongsubj,^exceptionally$
excitedly,anypos,n,strongsubj,^excitedly$
exhilarating,anypos,n,strongsubj,^exhilarating$
exhilaratingly,anypos,n,strongsubj,^exhilaratingly$
extraordinarily,anypos,n,strongsubj,^extraordinarily$
extraordinary,anypos,n,strongsubj,^extraordinary$
exuberantly,anypos,n,strongsubj,^exuberantly$
exultingly,anypos,n,strongsubj,^exultingly$
fabulously,anypos,n,strongsubj,^fabulously$
faithfully,anypos,n,strongsubj,^faithfully$
fantastic,anypos,n,strongsubj,^fantastic$
fantastically,anypos,n,strongsubj,^fantastically$
fascinating,anypos,n,strongsubj,^fascinating$
fascinatingly,anypos,n,strongsubj,^fascinatingly$
fascination,anypos,n,strongsubj,^fascination$
favorable,anypos,y,strongsubj,^favorable$
featly,anypos,n,strongsubj,^featly$
fervently,anypos,n,strongsubj,^fervently$
fervidly,anypos,n,strongsubj,^fervidly$
forgiving,anypos,n,strongsubj,^forgiving$
forgivingly,anypos,n,strongsubj,^forgivingly$
fortunate,anypos,y,strongsubj,^fortunate$
fortunately,anypos,y,strongsubj,^fortunately$
funny,anypos,y,strongsubj,^funny$
galore,anypos,n,strongsubj,^galore$
gleeful,anypos,n,strongsubj,^gleeful$
gleefully,anypos,n,strongsubj,^gleefully$
glimmering,anypos,n,strongsubj,^glimmering$
glistening,anypos,n,strongsubj,^glistening$
gloriously,anypos,n,strongsubj,^gloriously$
glowing,anypos,y,strongsubj,^glowing$
glowingly,anypos,n,strongsubj,^glowingly$
god-given,anypos,n,strongsubj,^god-given$
godlike,anypos,n,strongsubj,^godlike$
good,anypos,n,weaksubj,^good$
gorgeously,anypos,n,strongsubj,^gorgeously$
grateful,anypos,n,strongsubj,^grateful$
gratefully,anypos,n,strongsubj,^gratefully$
gratifying,anypos,n,strongsubj,^gratifying$
gratifyingly,anypos,n,strongsubj,^gratifyingly$
grin,anypos,y,strongsubj,^grin$
harmoniously,anypos,y,strongsubj,^harmoniously$
heavenly,anypos,n,strongsubj,^heavenly$
herald,anypos,y,strongsubj,^herald$
heroic,anypos,y,strongsubj,^heroic$
heroically,anypos,n,strongsubj,^heroically$
hilariously,anypos,n,strongsubj,^hilariously$
honestly,anypos,n,strongsubj,^honestly$
honorable,anypos,n,strongsubj,^honorable$
hopeful,anypos,n,strongsubj,^hopeful$
hopefully,anypos,n,strongsubj,^hopefully$
humorous,anypos,n,strongsubj,^humorous$
humorously,anypos,n,strongsubj,^humorously$
humourous,anypos,n,strongsubj,^humourous$
ideally,anypos,y,strongsubj,^ideally$
idyllic,anypos,y,strongsubj,^idyllic$
illuminating,anypos,n,strongsubj,^illuminating$
impeccably,anypos,n,strongsubj,^impeccably$
impressively,anypos,n,strongsubj,^impressively$
incisively,anypos,n,strongsubj,^incisively$
inclinations,anypos,n,strongsubj,^inclinations$
incredible,anypos,n,strongsubj,^incredible$
incredibly,anypos,n,strongsubj,^incredibly$
indubitable,anypos,n,strongsubj,^indubitable$
indubitably,anypos,n,strongsubj,^indubitably$
ingeniously,anypos,n,strongsubj,^ingeniously$
insightful,anypos,n,strongsubj,^insightful$
insightfully,anypos,n,strongsubj,^insightfully$
insistently,anypos,n,strongsubj,^insistently$
inspiring,anypos,n,strongsubj,^inspiring$
interesting,anypos,n,strongsubj,^interesting$
intriguing,anypos,n,strongsubj,^intriguing$
intriguingly,anypos,n,strongsubj,^intriguingly$
invaluablely,anypos,n,strongsubj,^invaluablely$
invigorating,anypos,n,strongsubj,^invigorating$
invincibility,anypos,n,strongsubj,^invincibility$
irrefutably,anypos,n,strongsubj,^irrefutably$
irresistibly,anypos,n,strongsubj,^irresistibly$
jolly,anypos,y,strongsubj,^jolly$
joyfully,anypos,n,strongsubj,^joyfully$
joyous,anypos,n,strongsubj,^joyous$
joyously,anypos,n,strongsubj,^joyously$
jubilantly,anypos,n,strongsubj,^jubilantly$
jubilation,anypos,n,strongsubj,^jubilation$
just,anypos,n,weaksubj,^just$
justifiably,anypos,y,strongsubj,^justifiably$
justly,anypos,n,strongsubj,^justly$
keenly,anypos,n,strongsubj,^keenly$
kindly,anypos,n,strongsubj,^kindly$
knowledgeable,anypos,n,strongsubj,^knowledgeable$
laudable,anypos,n,strongsubj,^laudable$
laudably,anypos,n,strongsubj,^laudably$
lavishly,anypos,n,strongsubj,^lavishly$
lovely,anypos,y,strongsubj,^lovely$
luckiest,anypos,y,strongsubj,^luckiest$
luxurious,anypos,n,strongsubj,^luxurious$
luxuriously,anypos,n,strongsubj,^luxuriously$
magnanimous,anypos,n,strongsubj,^magnanimous$
magnanimously,anypos,n,strongsubj,^magnanimously$
magnificence,anypos,n,strongsubj,^magnificence$
magnificent,anypos,n,strongsubj,^magnificent$
magnificently,anypos,n,strongsubj,^magnificently$
marvelous,anypos,y,strongsubj,^marvelous$
marvelously,anypos,n,strongsubj,^marvelously$
merciful,anypos,y,strongsubj,^merciful$
mercifully,anypos,n,strongsubj,^mercifully$
mesmerizing,anypos,n,strongsubj,^mesmerizing$
mesmerizing,anypos,n,strongsubj,^mesmerizing$
mesmerizingly,anypos,n,strongsubj,^mesmerizingly$
mightily,anypos,n,strongsubj,^mightily$
mighty,anypos,n,strongsubj,^mighty$
miraculously,anypos,n,strongsubj,^miraculously$
nicely,anypos,y,strongsubj,^nicely$
notably,anypos,y,strongsubj,^notably$
obliged,anypos,y,strongsubj,^obliged$
okay,anypos,y,strongsubj,^okay$
outstandingly,anypos,n,strongsubj,^outstandingly$
passionately,anypos,n,strongsubj,^passionately$
perfect,anypos,y,strongsubj,^perfect$
perfectly,anypos,n,strongsubj,^perfectly$
phenomenally,anypos,n,strongsubj,^phenomenally$
plainly,anypos,y,strongsubj,^plainly$
pleasing,anypos,n,strongsubj,^pleasing$
pleasingly,anypos,y,strongsubj,^pleasingly$
pleasurable,anypos,y,strongsubj,^pleasurable$
pleasurably,anypos,y,strongsubj,^pleasurably$
plenty,anypos,y,strongsubj,^plenty$
preferable,anypos,y,strongsubj,^preferable$
preferably,anypos,y,strongsubj,^preferably$
prettily,anypos,n,strongsubj,^prettily$
pretty,anypos,n,strongsubj,^pretty$
prodigiously,anypos,n,strongsubj,^prodigiously$
profoundly,anypos,n,strongsubj,^profoundly$
profusely,anypos,n,strongsubj,^profusely$
rapture,anypos,y,strongsubj,^rapture$
raptureously,anypos,n,strongsubj,^raptureously$
rapturous,anypos,y,strongsubj,^rapturous$
rapturously,anypos,y,strongsubj,^rapturously$
real,anypos,n,weaksubj,^real$
reasoned,anypos,n,weaksubj,^reasoned$
recommended,anypos,n,strongsubj,^recommended$
rejoicing,anypos,n,strongsubj,^rejoicing$
rejoicingly,anypos,n,strongsubj,^rejoicingly$
remarkable,anypos,y,strongsubj,^remarkable$
remarkably,anypos,n,strongsubj,^remarkably$
respectful,anypos,n,strongsubj,^respectful$
respectfully,anypos,n,strongsubj,^respectfully$
rewarding,anypos,n,strongsubj,^rewarding$
rewardingly,anypos,n,strongsubj,^rewardingly$
righteously,anypos,n,strongsubj,^righteously$
rightly,anypos,y,strongsubj,^rightly$
romantic,anypos,y,strongsubj,^romantic$
romantically,anypos,y,strongsubj,^romantically$
scrupulously,anypos,n,strongsubj,^scrupulously$
sensational,anypos,n,strongsubj,^sensational$
sensationally,anypos,n,strongsubj,^sensationally$
sensible,anypos,n,strongsubj,^sensible$
sensibly,anypos,n,strongsubj,^sensibly$
sensitively,anypos,y,strongsubj,^sensitively$
sentimentality,anypos,y,strongsubj,^sentimentality$
sentimentally,anypos,y,strongsubj,^sentimentally$
sentiments,anypos,n,strongsubj,^sentiments$
shimmer,anypos,y,strongsubj,^shimmer$
shimmering,anypos,y,strongsubj,^shimmering$
shimmeringly,anypos,n,strongsubj,^shimmeringly$
shine,anypos,y,weaksubj,^shine$
shiny,anypos,n,strongsubj,^shiny$
sincerely,anypos,n,strongsubj,^sincerely$
smartest,anypos,n,strongsubj,^smartest$
smartly,anypos,n,strongsubj,^smartly$
solicitous,anypos,n,strongsubj,^solicitous$
solicitously,anypos,n,strongsubj,^solicitously$
soothingly,anypos,n,strongsubj,^soothingly$
sparkle,anypos,y,strongsubj,^sparkle$
spectacularly,anypos,n,strongsubj,^spectacularly$
spellbinding,anypos,n,strongsubj,^spellbinding$
spellbindingly,anypos,n,strongsubj,^spellbindingly$
splendidly,anypos,n,strongsubj,^splendidly$
staunchly,anypos,n,strongsubj,^staunchly$
stellarly,anypos,n,strongsubj,^stellarly$
stimulating,anypos,n,strongsubj,^stimulating$
stirringly,anypos,n,strongsubj,^stirringly$
strikingly,anypos,n,strongsubj,^strikingly$
stunningly,anypos,n,strongsubj,^stunningly$
stupendously,anypos,n,strongsubj,^stupendously$
suggest,anypos,y,weaksubj,^suggest$
super,anypos,n,strongsubj,^super$
superb,anypos,n,strongsubj,^superb$
superbly,anypos,n,strongsubj,^superbly$
supurbly,anypos,n,strongsubj,^supurbly$
sure,anypos,n,strongsubj,^sure$
surely,anypos,y,strongsubj,^surely$
tantalizing,anypos,n,strongsubj,^tantalizing$
tantalizingly,anypos,n,strongsubj,^tantalizingly$
tempting,anypos,y,strongsubj,^tempting$
temptingly,anypos,y,strongsubj,^temptingly$
tenaciously,anypos,n,strongsubj,^tenaciously$
terrific,anypos,y,strongsubj,^terrific$
terrifically,anypos,n,strongsubj,^terrifically$
terrifying,anypos,n,strongsubj,^terrifying$
terrifyingly,anypos,n,strongsubj,^terrifyingly$
thankful,anypos,n,strongsubj,^thankful$
thankfully,anypos,n,strongsubj,^thankfully$
thrilling,anypos,n,strongsubj,^thrilling$
thrillingly,anypos,n,strongsubj,^thrillingly$
titillating,anypos,n,strongsubj,^titillating$
titillatingly,anypos,n,strongsubj,^titillatingly$
tolerantly,anypos,n,strongsubj,^tolerantly$
torrid,anypos,n,strongsubj,^torrid$
torridly,anypos,n,strongsubj,^torridly$
tremendous,anypos,n,strongsubj,^tremendous$
tremendously,anypos,y,strongsubj,^tremendously$
triumphantly,anypos,n,strongsubj,^triumphantly$
truculently,anypos,n,strongsubj,^truculently$
true,anypos,n,strongsubj,^true$
truly,anypos,n,strongsubj,^truly$
trusting,anypos,n,strongsubj,^trusting$
trustingly,anypos,n,strongsubj,^trustingly$
truth,anypos,y,strongsubj,^truth$
twinkly,anypos,y,strongsubj,^twinkly$
ultimate,anypos,n,strongsubj,^ultimate$
ultimately,anypos,n,strongsubj,^ultimately$
unabashedly,anypos,n,strongsubj,^unabashedly$
uncommonly,anypos,n,strongsubj,^uncommonly$
understated,anypos,n,strongsubj,^understated$
understatedly,anypos,n,strongsubj,^understatedly$
undisputable,anypos,n,strongsubj,^undisputable$
undisputably,anypos,n,strongsubj,^undisputably$
unequivocal,anypos,n,strongsubj,^unequivocal$
unequivocal,anypos,y,strongsubj,^unequivocal$
unequivocally,anypos,y,strongsubj,^unequivocally$
unfazed,anypos,n,strongsubj,^unfazed$
unquestionable,anypos,y,strongsubj,^unquestionable$
unquestionably,anypos,y,strongsubj,^unquestionably$
uplifting,anypos,n,strongsubj,^uplifting$
upliftingly,anypos,y,strongsubj,^upliftingly$
valiantly,anypos,n,strongsubj,^valiantly$
valuable,anypos,y,strongsubj,^valuable$
vibrantly,anypos,n,strongsubj,^vibrantly$
welcome,anypos,y,weaksubj,^welcome$
wholeheartedly,anypos,n,strongsubj,^wholeheartedly$
wonder,anypos,y,strongsubj,^wonder$
wonderful,anypos,y,strongsubj,^wonderful$
wonderfully,anypos,n,strongsubj,^wonderfully$
wonderously,anypos,n,strongsubj,^wonderously$
wondrous,anypos,y,strongsubj,^wondrous$
wow,anypos,n,strongsubj,^wow$
yearningly,anypos,n,strongsubj,^yearningly$
yep,anypos,y,strongsubj,^yep$
yes,anypos,y,strongsubj,^yes$
