word,value
free,3
freshly-squeezed,3
full-featured,3
fun,3
fun-loving,3
funny,3
good,3
graceful,3
gripping,3
healthy,3
heartfelt,3
heroic,3
high-end,3
high-performance,3
high-quality,3
high-resolution,3
hospitable,3
humorous,3
imaginable,3
imaginative,3
imaginitive,3
important,3
in-depth,3
inexpensive,3
in-room,3
insightful,3
instructional,3
intellectual,3
interesting,3
interference-free,3
intriguing,3
intuitive,3
in-tune,3
inviting,3
jolly,3
keyless,3
knowledgeable,3
leather-wrapped,3
letter-perfect,3
lifelike,3
lightning-fast,3
light-weight,3
lint-free,3
lively,3
liven-up,3
lush,3
master-chef,3
mega-star,3
memorable,3
multi-task,3
multi-tasking,3
multi-tasks,3
muscular,3
musical,3
near-cult,3
new-this-year,3
non-corrosive,3
non-proprietary,3
non-skid,3
non-slip,3
non-stick,3
non-sticks,3
non-traditional,3
no-questions-asked,3
one-of-a-kind,3
otherworldly,3
out-perform,3
padlockable,3
passionate,3
popular,3
positive,3
powerful,3
precious,3
problem-free,3
professional,3
professional-looking,3
prolific,3
queen-sized,3
quality,3
reclining,3
refillable,3
reputable,3
revolutionary,3
rewarding,3
rhythmic,3
rich,3
romantic,3
roomy,3
rugged,3
satisfying,3
savory,3
seamless,3
silky,3
sleek,3
slick,3
smooth-running,3
snazzy,3
sophisticated,3
special,3
specialized,3
speed-on-demand,3
stupid-funny,3
stylistic,3
successful,3
sumptuous,3
sunny,3
super,3
superdrive,3
sweet,3
symphonic,3
synchronized,3
teflon-coated,3
tender,3
thrilling,3
top-end,3
touch-screen,3
tremendous,3
triumphant,3
tubular,3
uncluttered,3
unique,3
unique-looking,3
universal,3
unparalleled,3
uplifting,3
up-lifting,3
valuable,3
value-packed,3
ventilated,3
versatile,3
vivid,3
welcome,3
wise,3
witty,3
worthwhile,3
zany,3
accurate,3
affordable,3
attractive,3
air-conditioned,3
dishwasher-safe,3
plug-and-play,3
user-friendly,3
adept,3
all-mighty,3
almighty,3
euphonious,3
laugh-out-loud,3
near-classic,3
patient,3
resounding,3
rockin,3
top-drawer,3
well-bred,3
adroit,3
gallant,3
astounding,3
inspirational,3
enamored,3
eloquent,3
virtuous,3
unassailable,3
tenacious,3
sage,3
sacred,3
rousing,3
renowned,3
penetrating,3
moving,3
luxuriant,3
lustrous,3
jovial,3
irresistible,3
irreproachable,3
infallible,3
illustrious,3
heartwarming,3
gutsy,3
groundbreaking,3
excited,3
distinguished,3
dazzled,3
dashing,3
compassionate,3
thriving,3
record-setting,3
leading,3
industrious,3
best-selling,3
upset,3
clean,2
capacious,2
cogent,2
confident,2
crisp,2
long-lasting,2
monumental,2
pretty,2
quaint,2
racy,2
restaurant-like,2
above-average,2
active,2
adaptable,2
addictive,2
adjustable,2
airy,2
all-new,2
already-nice,2
anticipated,2
anti-glare,2
anti-lock,2
apt,2
attentive,2
avid,2
bang-up,2
breathless,2
bubbly,2
budget-conscious,2
built-in,2
calm,2
capable,2
cherubic,2
chic,2
clear,2
clear-bodied,2
cliff-hanging,2
cognizant,2
coherent,2
colorful,2
comfortable,2
competent,2
complimentary,2
concise,2
configurable,2
consistent,2
convincing,2
cool,2
copious,2
cordial,2
courageous,2
coying,2
cut-rate,2
decent-sized,2
decorative,2
delicate,2
dexterous,2
diligent,2
dual-stage,2
dual-zone,2
dynamic,2
eager,2
earnest,2
edgy,2
efficient,2
elaborate,2
electronic,2
erotic,2
essential,2
eternal,2
ethereal,2
eventful,2
ever-evolving,2
ever-faithful,2
evocative,2
faithful,2
fast-paced,2
fine,2
flat-panel,2
fond,2
formidable,2
free-spirited,2
fresh,2
frisky,2
fruitful,2
full-fledged,2
full-size,2
generous,2
genious,2
gentle,2
genuine,2
germ-free,2
gifted,2
glad,2
good-natured,2
grateful,2
gut-busting,2
handy,2
hard-working,2
hardy,2
hearty,2
heavy-duty,2
helpful,2
hit,2
home-cooked,2
honest,2
honorable,2
hopeful,2
humble,2
inexhaustible,2
infectious,2
influential,2
informative,2
innocent,2
intensive,2
intoxicating,2
keen,2
kind,2
kindly,2
ladylike,2
leisurely,2
liberal,2
lighthearted,2
light-hearted,2
likeable,2
listenable,2
lovely,2
loving,2
loyal,2
luaus,2
lucky,2
meaty,2
melodic,2
merry,2
mind-blowing,2
modern,2
mystical,2
natural,2
near-silence,2
neat,2
new,2
nice,2
nice-looking,2
nicely-finished,2
nicely-tuned,2
nice-sounding,2
nifty,2
noble,2
normal,2
nostalgic,2
noteworthy,2
optimistic,2
ornate,2
oven-proof,2
oven-safe,2
pastoral,2
playable,2
playful,2
plentiful,2
polite,2
precise,2
progressive,2
promising,2
purposeful,2
quick,2
reflective,2
reliable,2
resourceful,2
robust,2
rustic-yet-contemporary,2
sand-covered,2
sandy,2
sentimental,2
silent,2
sincere,2
skilled,2
skillful,2
smart,2
smoother,2
snappy,2
souped-up,2
spicy,2
sporty,2
sporting,2
spunky,2
stainless,2
stainless-steel,2
strategic,2
street-smart,2
street-wise,2
strong,2
sturdy,2
suspenseful,2
swell,2
swivel,2
talented,2
tasty,2
thorough,2
thoughtful,2
toll-free,2
top,2
touching,2
tranquil,2
truthful,2
unamusing,2
uncoventional,2
undamaged,2
unlimited,2
unprecedented,2
unrestricted,2
viable,2
well-intentioned,2
youthful,2
elfin,2
expandable,2
proficient,2
programmable,2
believeable,2
big-hearted,2
big-time,2
catchy,2
climactic,2
conducive,2
cross-platform,2
everlasting,2
forceful,2
high-energy,2
human,2
indomitable,2
judicious,2
kicky,2
literate,2
magnetic,2
modular,2
moral,2
outgoing,2
plucky,2
properous,2
skilful,2
spicy,2
spirited,2
sympathetic,2
cathartic,2
sumptuous-looking,2
even-tempered,2
multi-faceted,2
larger-than-life,2
personable,2
workmanlike,2
eye-popping,2
stimulating,2
affectionate,2
hyperkinetic,2
multi-dimensional,2
glamorous,2
artistical,2
chuckle-worthy,2
chivalrous,2
well-behaved,2
vigorous,2
peppy,2
not_(bad),2
high-performance,2
redepemption,2
hip,2
worth-while,2
well-regarded,2
well-received,2
well-managed,2
warmhearted,2
venerable,2
unpretentious,2
trustworthy,2
suave,2
studious,2
stirring,2
stately,2
savvy,2
rosy,2
reverent,2
proactive,2
posh,2
pithy,2
optimal,2
nurturing,2
likable,2
irrefutable,2
ingratiating,2
indestructible,2
indefatigable,2
incisive,2
humane,2
heartening,2
harmonious,2
gracious,2
fragrant,2
feisty,2
fashionable,2
entertaining,2
enduring,2
easygoing,2
dignified,2
dextrous,2
dedicated,2
courtly,2
comely,2
arresting,2
auspicious,2
timely,2
sustainable,2
self-sufficient,2
resurgent,2
resilient,2
prosperous,2
principled,2
polished,2
nourishing,2
lucrative,2
low-risk,2
improved,2
favored,2
enhanced,2
boisterous,2
digital,1
non-smoking,1
extra,1
shrewd,1
subtle,1
undying,1
able,1
academic,1
acceptable,1
accord-based,1
adequate,1
adequate-borderline,1
aerodynamic,1
age-old,1
all-purpose,1
all-time,1
all-weather,1
appropriate,1
archetypal,1
artsy,1
aspiring,1
assertive,1
authentic,1
auto-focus,1
automatic,1
automatically-bestselling,1
auto-tilting,1
auxiliary,1
average,1
averaged-sized,1
average-good,1
average-sized,1
balanced,1
believable,1
big,1
blameless,1
book-lined,1
bouncy,1
careful,1
casual,1
cavernous,1
celestial,1
central,1
ceremonial,1
challenging,1
civil,1
civilized,1
classical,1
climate-control,1
cloudless,1
collectible,1
color-matched,1
comedic,1
comic,1
comical,1
commensurate,1
comparable,1
compatible,1
competitive,1
complementary,1
complete,1
comprehensible,1
concrete,1
conscious,1
contemporary,1
controllable,1
credible,1
customary,1
dainty,1
danceable,1
decent,1
decisive,1
detailed,1
distinctive,1
do-it-yourself,1
double-duty,1
down-to-earth,1
drama-free,1
early,1
earthly,1
eclectic,1
effective,1
electric,1
electrical,1
equal,1
equitable,1
erudite,1
european,1
evident,1
exempt,1
extendable,1
factual,1
fair,1
fairground-inspired,1
familiar,1
fiery,1
firm,1
first,1
fit,1
fitting,1
flashy,1
flavored,1
flirtatious,1
flush,1
foolproof,1
forgivable,1
four-way,1
frameless,1
frequent,1
functional,1
funky,1
giant,1
giddy,1
gigantic,1
global,1
glossy,1
golden,1
good-intentioned,1
gradual,1
grandiose,1
green,1
grown-up,1
hand-written,1
high-up,1
home-made,1
hot,1
huge,1
humanistic,1
humongous,1
hypnotic,1
immediate,1
immense,1
impenetrable,1
independent,1
indigenous,1
infinite,1
informal,1
innocuous,1
inoffensive,1
inquisitive,1
intact,1
intangible,1
intimate,1
intricate,1
introspective,1
invincible,1
invisible,1
jazzy,1
karmic,1
laid-back,1
relaxing,1
latent,1
latest,1
legal,1
legible,1
legitimate,1
less-expensive,1
liveable,1
logical,1
long-running,1
long-standing,1
low-abrasive,1
low-cost,1
lower-cost,1
lower-priced,1
low-speed,1
lucid,1
manageable,1
maternal,1
mature,1
maximum,1
mellow,1
meticulous,1
mighty,1
mild,1
much-used,1
native,1
new-classic,1
newfound,1
no-holds-barred,1
notable,1
noteable,1
noticeable,1
obtainable,1
one-on-one,1
operational,1
operative,1
optional,1
original,1
palatable,1
performance-oriented,1
persuasive,1
plausible,1
possible,1
potent,1
practical,1
precision,1
preferable,1
prominent,1
prompt,1
proper,1
proud,1
pure,1
quasi-luxury,1
quiet,1
quirky,1
rare,1
readable,1
ready,1
ready-to-pop,1
real,1
realistic,1
real-life,1
real-world,1
reasonable,1
receptive,1
recognisable,1
recognizable,1
recoverable,1
redeeming,1
regular,1
relevant,1
reminiscent,1
respectable,1
respectful,1
responsible,1
responsive,1
restraint,1
right,1
rustic,1
safe,1
saleable,1
sane,1
satisfactory,1
scholarly,1
scientific,1
secure,1
sedate,1
sensitive,1
sexual,1
sharp,1
significant,1
silver,1
sizable,1
slender,1
slim,1
smooth,1
social,1
soft,1
solemn,1
solid,1
soulful,1
space-age,1
speedy,1
spontaneous,1
springy,1
stable,1
stand-alone,1
standard,1
stand-out,1
steady,1
straightforward,1
straight-forward,1
straight-line,1
striking,1
style-fest,1
substantial,1
sufficient,1
suitable,1
sultry,1
supportive,1
tall,1
tan,1
tangible,1
tasteful,1
technological,1
tempting,1
thankful,1
trusty,1
typical,1
understandable,1
unorthodox,1
unusual,1
urban,1
usable,1
useable,1
useful,1
user-accessible,1
usual,1
valid,1
vast,1
viewable,1
vital,1
warm,1
watchable,1
whimsical,1
wholesome,1
willing,1
workable,1
worth,1
young,1
antique,1
easy,1
futurisitic,1
action,1
action-adventure,1
agile,1
all-around,1
all-clear,1
allowable,1
bite-sized,1
bouncy,1
character-driven,1
charitable,1
compact,1
cooler-headed,1
distinct,1
down-home,1
explanatory,1
high-profile,1
high-speed,1
industry-standard,1
manly,1
moderately-priced,1
modest,1
mystic,1
novel,1
observant,1
official,1
okay,1
opportune,1
prime,1
shiny,1
sizzling,1
sure,1
suspensful,1
tolerant,1
uncanny,1
unconventional,1
unpredictable,1
virginal,1
dramatic,1
tropical,1
tolerable,1
streetwise,1
famed,1
wacky,1
hi-larious,1
self-respecting,1
unbridled,1
cheery,1
ultimate,1
uncompromising,1
seductive,1
ok,1
half-price,1
sound,1
gleaming,1
chummy,1
soothing,1
lightweight,1
wry,1
well-informed,1
well-connected,1
unfettered,1
undaunted,1
unconcerned,1
tidy,1
serene,1
scrupulous,1
sanguine,1
rational,1
priviledged,1
plush,1
patriotic,1
offbeat,1
nimble,1
moderate,1
lionhearted,1
law-abiding,1
just,1
incorruptible,1
impregnable,1
impervious,1
harmless,1
fancy,1
excusable,1
ethical,1
deserved,1
content,1
conscientious,1
congenial,1
amicable,1
untouched,1
unscathed,1
unencumbered,1
unbiased,1
trim,1
thrifty,1
temperate,1
swift,1
substantive,1
restful,1
profitable,1
productive,1
pertinent,1
painless,1
lenient,1
historic,1
fertile,1
efficacious,1
cost-effective,1
benign,1
beneficial,1
austere,1
